chembl_id,accession,gene
CHEMBL1803,P20701,ITGAL
CHEMBL2096661,P20701,ITGAL
CHEMBL2364172,P20701,ITGAL
CHEMBL3070,P05362,ICAM1
CHEMBL2096661,P05362,ICAM1
CHEMBL3161,P14151,SELL
CHEMBL3831288,P14151,SELL
CHEMBL3218,P20273,CD22
CHEMBL3735,P19320,VCAM1
CHEMBL3810,P02751,FN1
CHEMBL3890,P16581,SELE
CHEMBL3831288,P16581,SELE
CHEMBL4183,Q14242,SELPLG
CHEMBL3301394,Q14242,SELPLG
CHEMBL4467,Q13477,MADCAM1
CHEMBL5378,P16109,SELP
CHEMBL3301394,P16109,SELP
CHEMBL3831288,P16109,SELP
CHEMBL1919,P54289,CACNA2D1
CHEMBL2363032,P54289,CACNA2D1
CHEMBL3430901,P54289,CACNA2D1
CHEMBL3988638,P54289,CACNA2D1
CHEMBL3988640,P54289,CACNA2D1
CHEMBL4106160,P54289,CACNA2D1
CHEMBL4106164,P54289,CACNA2D1
CHEMBL2363032,Q8IZS8,CACNA2D3
CHEMBL3896,Q9NY47,CACNA2D2
CHEMBL2363032,Q9NY47,CACNA2D2
CHEMBL2363032,Q7Z3S7,CACNA2D4
CHEMBL2363032,O00305,CACNB4
CHEMBL2363032,P54284,CACNB3
CHEMBL3430901,P54284,CACNB3
CHEMBL2363032,Q08289,CACNB2
CHEMBL3317336,Q08289,CACNB2
CHEMBL4106164,Q08289,CACNB2
CHEMBL2363032,Q02641,CACNB1
CHEMBL3988638,Q02641,CACNB1
CHEMBL3988640,Q02641,CACNB1
CHEMBL4106160,Q02641,CACNB1
CHEMBL2363032,P62955,CACNG7
CHEMBL2363032,Q9BXT2,CACNG6
CHEMBL2363032,Q9UF02,CACNG5
CHEMBL2363032,Q9UBN1,CACNG4
CHEMBL2363032,O60359,CACNG3
CHEMBL2363032,Q9Y698,CACNG2
CHEMBL2363032,Q06432,CACNG1
CHEMBL2363032,Q8WXS5,CACNG8
CHEMBL3038495,Q16558,KCNMB1
CHEMBL2079,P29762,CRABP1
CHEMBL2083,P15090,FABP4
CHEMBL2221342,P29373,CRABP2
CHEMBL3344,P05413,FABP3
CHEMBL3674,Q01469,FABP5
CHEMBL4879,P12104,FABP2
CHEMBL5421,P07148,FABP1
CHEMBL3826865,Q0Z7S8,FABP9
CHEMBL3826863,O15540,FABP7
CHEMBL4872,P15382,KCNE1
CHEMBL2221347,P15382,KCNE1
CHEMBL5884,Q14722,KCNAB1
CHEMBL3988636,Q14722,KCNAB1
CHEMBL2095215,Q7LG56,RRM2B
CHEMBL3301398,Q7LG56,RRM2B
CHEMBL1900,P15121,AKR1B1
CHEMBL1954,P31350,RRM2
CHEMBL2095215,P31350,RRM2
CHEMBL1958,P14060,HSD3B1
CHEMBL3542431,Q92813,DIO2
CHEMBL2077,Q06520,SULT2A1
CHEMBL2081,P09488,GSTM1
CHEMBL2085,P14174,MIF
CHEMBL2111430,P14174,MIF
CHEMBL2075,P23284,PPIB
CHEMBL2097,Q5R387,PLA2G2C
CHEMBL2100,Q03013,GSTM4
CHEMBL2105,Q6QHF9,PAOX
CHEMBL2106,P04075,ALDOA
CHEMBL2118,P19801,AOC1
CHEMBL2127,P11150,LIPC
CHEMBL2131,O95050,INMT
CHEMBL2140,P48775,TDO2
CHEMBL2141,P30711,GSTT1
CHEMBL2142,P0CG29,GSTT2
CHEMBL2146,P00387,CYB5R3
CHEMBL2154,Q9NZK7,PLA2G2E
CHEMBL2158,P52961,ART1
CHEMBL2159,P15531,NME1
CHEMBL2160,P22392,NME2
CHEMBL2363042,Q9HCU8,POLD4
CHEMBL2179,P04062,GBA
CHEMBL4106172,P04062,GBA
CHEMBL2190,P50135,HNMT
CHEMBL2193,P15289,ARSA
CHEMBL2194,P11245,NAT2
CHEMBL2202,O95237,LRAT
CHEMBL2222,P00480,OTC
CHEMBL2239,Q8NCG5,CHST4
CHEMBL2241,P09210,GSTA2
CHEMBL2242,P21266,GSTM3
CHEMBL2243,O00519,FAAH
CHEMBL2246,P14550,AKR1A1
CHEMBL2249,P28300,LOX
CHEMBL2251,Q9BTU6,PI4K2A
CHEMBL2096619,Q9BTU6,PI4K2A
CHEMBL2254,Q9P0Z9,PIPOX
CHEMBL2363042,Q15054,POLD3
CHEMBL2261,Q16775,HAGH
CHEMBL2265,P23141,CES1
CHEMBL2271,Q9BTY2,FUCA2
CHEMBL2275,Q00796,SORD
CHEMBL2282,P35575,G6PC
CHEMBL2288,Q13526,PIN1
CHEMBL2300,P32189,GK
CHEMBL2308,Q9UKM7,MAN1B1
CHEMBL2314,Q7Z4W1,DCXR
CHEMBL2342,Q9NWM8,FKBP14
CHEMBL2346,P49888,SULT1E1
CHEMBL2354,P00441,SOD1
CHEMBL4106171,P00441,SOD1
CHEMBL2360,P00492,HPRT1
CHEMBL2094135,Q96BI3,APH1A
CHEMBL2374,Q9NZ42,PSENEN
CHEMBL2094135,Q9NZ42,PSENEN
CHEMBL2094135,Q8WW43,APH1B
CHEMBL2388,Q9UDW1,UQCR10
CHEMBL2392,P06746,POLB
CHEMBL2403,Q9NNW7,TXNRD2
CHEMBL2096978,Q9NNW7,TXNRD2
CHEMBL271,P49354,FNTA
CHEMBL2094108,P49354,FNTA
CHEMBL2096991,P49354,FNTA
CHEMBL2095164,P49354,FNTA
CHEMBL2420,O75493,CA11
CHEMBL2424,Q04760,GLO1
CHEMBL2430,P68106,FKBP1B
CHEMBL3885614,P68106,FKBP1B
CHEMBL2438,P11678,EPX
CHEMBL2439,P05164,MPO
CHEMBL2447,P27707,DCK
CHEMBL2457,O15296,ALOX15B
CHEMBL2465,Q14117,DPYS
CHEMBL2469,Q9BZX2,UCK2
CHEMBL3542438,Q9BZX2,UCK2
CHEMBL2478,P04745,AMY1A
CHEMBL2478,P04745,AMY1B
CHEMBL2478,P04745,AMY1C
CHEMBL2500,P51580,TPMT
CHEMBL2506,P27986,PIK3R1
CHEMBL2111367,P27986,PIK3R1
CHEMBL2111432,P27986,PIK3R1
CHEMBL3038510,P27986,PIK3R1
CHEMBL3559703,P27986,PIK3R1
CHEMBL2511,O95363,FARS2
CHEMBL2518,P31939,ATIC
CHEMBL3430882,P31939,ATIC
CHEMBL3885527,P31939,ATIC
CHEMBL3885528,P31939,ATIC
CHEMBL2519,Q14697,GANAB
CHEMBL2520,Q8TET4,GANC
CHEMBL2524,P06280,GLA
CHEMBL2097167,Q8NFM4,ADCY4
CHEMBL2541,P11586,MTHFD1
CHEMBL3542434,P49189,ALDH9A1
CHEMBL2544,P19021,PAM
CHEMBL2546,P30519,HMOX2
CHEMBL2568,P06737,PYGL
CHEMBL2593,P30419,NMT1
CHEMBL2096973,P30419,NMT1
CHEMBL2612,P26640,VARS
CHEMBL2614,Q99259,GAD1
CHEMBL2616,P24752,ACAT1
CHEMBL2638,P60891,PRPS1
CHEMBL2640,P52789,HK2
CHEMBL2646,O60256,PRPSAP2
CHEMBL272,P49356,FNTB
CHEMBL2094108,P49356,FNTB
CHEMBL2096991,P49356,FNTB
CHEMBL2655,O60503,ADCY9
CHEMBL2097167,O60503,ADCY9
CHEMBL2656,P06732,CKM
