"tid";"molregno";"disease_efficacy"
11060;1124;1
10193;675068;1
10193;674765;1
10193;1085;1
10193;1125;1
10193;1124;1
159;378315;1
219;674722;1
219;1102940;1
219;230999;1
219;674857;1
219;554127;1
219;1049461;1
219;674831;1
219;674430;1
219;594843;1
219;453573;1
219;1418097;1
219;445395;1
219;674555;1
219;674754;1
219;674886;1
219;562404;1
219;674715;1
219;1927030;1
219;675716;1
219;674424;1
219;195974;1
219;892;1
219;14406;1
219;674281;1
219;1449190;1
219;674901;1
219;1406675;1
219;674975;1
219;229058;1
219;170395;1
219;674842;1
219;674978;1
219;674298;1
219;1594639;1
62;674463;1
187;675418;1
187;675776;1
187;1121853;1
187;675483;1
11758;675815;1
11758;390990;1
111;674777;1
111;1376008;1
112;675409;1
112;227437;1
112;675059;1
11265;1592399;1
11265;675135;1
160;500007;1
160;675370;1
10073;293438;1
179;21523;1
179;674632;1
11;675525;1
11;1376019;1
11;675435;1
11;1038352;1
11;188815;1
12;1381057;1
12;1380413;1
12;1380151;1
12;675518;1
12;675554;1
12;675431;1
12;73547;1
12;127755;1
15;366278;1
15;675113;1
15;1085;1
15;1124;1
15;366279;1
15;1125;1
15;674765;1
117;1592399;1
117;675135;1
279;674954;1
279;674472;1
63;674596;1
63;674426;1
63;446279;1
63;462435;1
63;840903;1
63;624185;1
63;674927;1
69;674962;1
69;421317;1
69;674485;1
69;674648;1
69;189203;1
69;1592407;1
69;544432;1
69;444750;1
69;674294;1
69;1110310;1
69;674610;1
69;674782;1
260;400344;1
261;8130;1
12697;11305;1
77;293438;1
201;1285395;1
201;675361;1
201;675493;1
84;485738;1
188;675581;1
188;1328912;1
188;1121953;1
188;675130;1
127;675544;1
127;1093813;1
127;674442;1
127;674448;1
127;674569;1
127;550917;1
127;1926757;1
127;674589;1
127;674701;1
127;674760;1
127;674912;1
127;674957;1
127;675064;1
127;551224;1
127;674483;1
127;674878;1
127;110803;1
127;496910;1
127;674746;1
127;699453;1
127;674918;1
127;675019;1
127;674541;1
127;674752;1
127;674925;1
127;675698;1
127;226880;1
127;674401;1
127;674720;1
127;674958;1
127;191342;1
127;468199;1
127;490981;1
127;674343;1
127;674397;1
127;674501;1
127;675141;1
127;675710;1
127;447448;1
127;479129;1
127;674354;1
127;674357;1
127;1376009;1
127;674910;1
127;675040;1
127;674974;1
127;674346;1
127;524710;1
127;674899;1
185;675617;1
185;675782;1
185;675482;1
185;675371;1
185;675784;1
3;44920;1
3;283529;1
3;564291;1
3;1285392;1
11208;11305;1
