"tid";"accession"
106166;"P24043"
106655;"Q9BMJ1"
106082;"P66421"
104684;"P30729"
12894;"P23385"
106583;"H9CNL0"
12678;"P21673"
108377;"P02776"
11251;"P80276"
103873;"Q9R744"
10865;"Q63269"
11456;"Q05329"
100204;"P29465"
100410;"P30530"
105111;"P04632"
109912;"P31748"
105708;"P16389"
104634;"O76082"
105415;"P39050"
116866;"A7E2Y1"
104875;"Q9UQM7"
104205;"Q2PCB5"
12665;"Q04759"
104812;"Q9BTU6"
108290;"Q6PFX9"
106205;"P02675"
102933;"Q9WV87"
104933;"Q01726"
114856;"Q9NQC3"
105760;"O95139"
10069;"P49862"
20034;"O74189"
100417;"Q9UM73"
104681;"P56524"
101307;"Q920L5"
11888;"Q9Z2Z8"
101472;"P00403"
102465;"Q96BR1"
107893;"P06493"
104933;"P32245"
104817;"P28335"
102394;"O95342"
107981;"Q63T71"
109474;"P20083"
109698;"Q01740"
12755;"P25115"
105030;"P23979"
104376;"O08580"
105670;"P25100"
101546;"P96878"
109965;"P04585"
107946;"P97266"
100421;"Q64725"
105106;"P31751"
12097;"Q8JXU8"
10651;"P18130"
104654;"O08705"
101454;"Q9ERM3"
11558;"P28700"
109780;"P29460"
109921;"F1LWD8"
104818;"B5DFI9"
104844;"Q9UGJ0"
328;"P9WQA9"
12690;"P00491"
103498;"P70658"
105215;"O75936"
159;"Q02768"
108151;"Q9NRN7"
106082;"P66114"
104305;"Q00987"
12081;"Q01984"
10814;"Q9HBW0"
12605;"P15390"
103574;"Q9H237"
11097;"P26431"
104150;"O19175"
17007;"P04055"
100664;"P00489"
104876;"P35462"
17055;"P15122"
106557;"B6TK44"
109083;"Q8BMN3"
116889;"Q7RTX1"
103724;"P46154"
100006;"Q60490"
101181;"Q86X55"
103449;"O75747"
109639;"P22102"
105103;"P05556"
106201;"F1L5G6"
101051;"Q9Y5R2"
11770;"P07314"
104860;"P05622"
11847;"Q9HBA0"
10587;"P46002"
100458;"Q62879"
10254;"Q99MI5"
108388;"Q59643"
105944;"P9WH87"
108045;"Q07071"
11661;"P22692"
104269;"P19096"
104775;"P19784"
105832;"Q8CWN3"
105670;"P18089"
10288;"P70180"
104201;"Q03963"
104451;"A4HSF7"
104725;"P23219"
104576;"Q9NRM0"
103489;"P20333"
18082;"D3ZGQ2"
105058;"P20839"
11533;"Q16773"
12832;"P15207"
103647;"Q43570"
109647;"P51787"
101199;"B0FL73"
106718;"Q41768"
104423;"Q9UPP1"
100635;"P18417"
102832;"O35492"
12119;"P0AC13"
11460;"P00860"
104796;"P16499"
104961;"O96020"
105830;"P0A7X3"
20109;"P48748"
104909;"P30988"
101601;"Q06000"
107969;"Q12830"
107999;"Q9BXF3"
17142;"Q9R1M7"
101261;"Q8R0X7"
104828;"P70604"
101476;"P27695"
10739;"P43153"
10501;"P47746"
104878;"P40145"
104357;"O94222"
104910;"O60896"
104778;"P08709"
10711;"P25098"
102586;"Q0SRB6"
12995;"P47866"
103112;"Q8HY88"
100412;"Q9H4B4"
104953;"O95665"
12302;"Q3THK7"
12509;"P35235"
103971;"P14904"
104769;"P32238"
10177;"P54750"
105087;"P14867"
12387;"P28838"
17084;"P41144"
102666;"Q92997"
105734;"Q9P0X4"
10550;"P32871"
14044;"P04578"
104683;"P41743"
105692;"Q06710"
108129;"P30926"
100872;"Q8VH26"
107945;"P24941"
100264;"P05631"
100854;"Q14680"
103118;"P33436"
100115;"P48547"
102587;"Q60457"
116899;"P68400"
104997;"O00408"
101129;"Q58D13"
101388;"P54131"
103985;"P55789"
10994;"O88855"
102646;"O15528"
104841;"Q8WXA8"
104712;"P28472"
105221;"Q9AIU7"
103886;"Q2PUH3"
104291;"P14867"
101065;"P9WNS3"
101161;"P12314"
104767;"Q7WZI6"
11740;"Q62688"
104834;"P29275"
109842;"E2R4B8"
105767;"P48443"
12426;"Q8K4F2"
103595;"A0A0E1AED5"
103606;"Q6XEC0"
11923;"P32305"
102695;"P07686"
10949;"Q9R0Q2"
108316;"Q80Z29"
10209;"P34969"
10010;"P49653"
109901;"Q6P6C2"
109438;"P59551"
11426;"P20288"
109494;"Q15185"
105708;"Q96L42"
17049;"P06186"
104906;"Q02152"
105393;"O08755"
105495;"Q92523"
187;"P15692"
104796;"O43924"
106001;"Q9HVL6"
104684;"P18901"
106197;"P62333"
100304;"P10415"
116790;"Q99N57"
108016;"Q15382"
108137;"Q02108"
104766;"P07437"
100921;"Q0H0G9"
105039;"Q07343"
104686;"P14842"
106001;"Q9HWD7"
104123;"O95931"
10741;"Q64654"
109822;"Q86PR3"
116900;"O88895"
105504;"P29373"
103102;"Q8TF76"
106082;"Q9A1W2"
100999;"Q62976"
104704;"P28472"
104952;"Q99705"
106002;"E0VB18"
101273;"Q8WXR4"
104304;"P23944"
10977;"P10253"
106075;"P0A0G2"
20111;"P0C1U9"
104517;"Q64729"
104721;"P0AES6"
106082;"P66063"
106731;"Q6IVK1"
105708;"Q9UIX4"
103502;"Q8I0V1"
105746;"Q25634"
10738;"P03474"
106575;"E3SW77"
106082;"P66258"
104810;"P23819"
100869;"P49219"
104124;"Q9R0W2"
105708;"Q96RP8"
107590;"Q7Z3E1"
104854;"P08588"
20154;"Q86TI2"
17022;"O75106"
106715;"P52904"
116804;"Q920B6"
17135;"Q8WNX7"
109775;"G8A3U3"
104450;"A5JV95"
104818;"Q63065"
17105;"P79399"
104015;"Q9QUQ5"
11562;"O95136"
105516;"A3FFR5"
104856;"P37231"
104797;"P48974"
11907;"P41231"
106699;"Q8S3J0"
18063;"Q28998"
107877;"Q9UGJ0"
101045;"Q6P3R8"
105621;"Q02742"
103483;"P13674"
17031;"P00346"
107660;"Q8I2S7"
104301;"P63138"
106001;"Q9HWF2"
108268;"Q9JHR7"
100473;"Q9NY33"
108401;"P21554"
108312;"Q3U6B2"
101084;"Q27686"
11931;"Q6B4J2"
103643;"Q873Y0"
12378;"Q13002"
104677;"O00255"
11002;"O88496"
104859;"P04972"
11783;"Q64505"
116897;"P68363"
102979;"B5SU02"
13008;"Q6AY53"
116898;"Q9BVA1"
105048;"O75343"
13005;"P06870"
105410;"P04636"
105944;"P9WH43"
103121;"Q9HB89"
105141;"P06582"
11046;"P36507"
101624;"P05186"
109545;"Q9Y6F1"
109645;"P33176"
103905;"Q2FD83"
100208;"P21567"
105000;"Q9Z1B7"
109623;"P51538"
101097;"Q6W5P4"
12519;"P51673"
105440;"Q15910"
109746;"Q15131"
100264;"P05632"
100860;"P51683"
11446;"P48065"
105346;"P00746"
107642;"A5Z1V5"
105944;"P9WHE5"
105830;"P0A7V8"
104529;"P51557"
102885;"Q28705"
104599;"Q7TQN9"
109943;"O00400"
103432;"Q9QZQ4"
11584;"Q05754"
103047;"Q16760"
104680;"P22086"
105671;"P35462"
11117;"P28572"
109582;"Q14694"
112369;"P27348"
