"target_pref_name","target_chembl_id","publication_year","target_tid","go_pref_name","compound_count","PMID_count","disease_efficacy_count"
"Vasopressin V2 receptor","CHEMBL1790",1998,112,"signal transduction",15,1,1
"Vasopressin V2 receptor","CHEMBL1790",2000,112,"signal transduction",21,2,1
"Vasopressin V2 receptor","CHEMBL1790",2002,112,"signal transduction",14,1,1
"Vasopressin V2 receptor","CHEMBL1790",2003,112,"signal transduction",24,2,0
"Vasopressin V2 receptor","CHEMBL1790",2004,112,"signal transduction",11,1,0
"Vasopressin V2 receptor","CHEMBL1790",2005,112,"signal transduction",11,3,1
"Vasopressin V2 receptor","CHEMBL1790",2006,112,"signal transduction",11,2,0
"Vasopressin V2 receptor","CHEMBL1790",2007,112,"signal transduction",21,2,1
"Vasopressin V2 receptor","CHEMBL1790",2008,112,"signal transduction",48,3,0
"Vasopressin V2 receptor","CHEMBL1790",2009,112,"signal transduction",34,5,0
"Vasopressin V2 receptor","CHEMBL1790",2010,112,"signal transduction",63,5,0
"Vasopressin V2 receptor","CHEMBL1790",2011,112,"signal transduction",7,3,0
"Vasopressin V2 receptor","CHEMBL1790",2012,112,"signal transduction",8,3,0
"Vasopressin V2 receptor","CHEMBL1790",2013,112,"signal transduction",8,4,0
"Vasopressin V2 receptor","CHEMBL1790",2015,112,"signal transduction",8,3,0
"Vasopressin V2 receptor","CHEMBL1790",2016,112,"signal transduction",1,1,0
"Vasopressin V2 receptor","CHEMBL1790",1998,112,"positive regulation of catalytic activity",15,1,1
"Vasopressin V2 receptor","CHEMBL1790",2000,112,"positive regulation of catalytic activity",21,2,1
"Vasopressin V2 receptor","CHEMBL1790",2002,112,"positive regulation of catalytic activity",14,1,1
"Vasopressin V2 receptor","CHEMBL1790",2003,112,"positive regulation of catalytic activity",24,2,0
"Vasopressin V2 receptor","CHEMBL1790",2004,112,"positive regulation of catalytic activity",11,1,0
"Vasopressin V2 receptor","CHEMBL1790",2005,112,"positive regulation of catalytic activity",11,3,1
"Vasopressin V2 receptor","CHEMBL1790",2006,112,"positive regulation of catalytic activity",11,2,0
"Vasopressin V2 receptor","CHEMBL1790",2007,112,"positive regulation of catalytic activity",21,2,1
"Vasopressin V2 receptor","CHEMBL1790",2008,112,"positive regulation of catalytic activity",48,3,0
"Vasopressin V2 receptor","CHEMBL1790",2009,112,"positive regulation of catalytic activity",34,5,0
"Vasopressin V2 receptor","CHEMBL1790",2010,112,"positive regulation of catalytic activity",63,5,0
"Vasopressin V2 receptor","CHEMBL1790",2011,112,"positive regulation of catalytic activity",7,3,0
"Vasopressin V2 receptor","CHEMBL1790",2012,112,"positive regulation of catalytic activity",8,3,0
"Vasopressin V2 receptor","CHEMBL1790",2013,112,"positive regulation of catalytic activity",8,4,0
"Vasopressin V2 receptor","CHEMBL1790",2015,112,"positive regulation of catalytic activity",8,3,0
"Vasopressin V2 receptor","CHEMBL1790",2016,112,"positive regulation of catalytic activity",1,1,0
"Vasopressin V2 receptor","CHEMBL1790",1998,112,"multicellular organismal development",15,1,1
"Vasopressin V2 receptor","CHEMBL1790",2000,112,"multicellular organismal development",21,2,1
"Vasopressin V2 receptor","CHEMBL1790",2002,112,"multicellular organismal development",14,1,1
"Vasopressin V2 receptor","CHEMBL1790",2003,112,"multicellular organismal development",24,2,0
"Vasopressin V2 receptor","CHEMBL1790",2004,112,"multicellular organismal development",11,1,0
"Vasopressin V2 receptor","CHEMBL1790",2005,112,"multicellular organismal development",11,3,1
"Vasopressin V2 receptor","CHEMBL1790",2006,112,"multicellular organismal development",11,2,0
"Vasopressin V2 receptor","CHEMBL1790",2007,112,"multicellular organismal development",21,2,1
"Vasopressin V2 receptor","CHEMBL1790",2008,112,"multicellular organismal development",48,3,0
"Vasopressin V2 receptor","CHEMBL1790",2009,112,"multicellular organismal development",34,5,0
"Vasopressin V2 receptor","CHEMBL1790",2010,112,"multicellular organismal development",63,5,0
"Vasopressin V2 receptor","CHEMBL1790",2011,112,"multicellular organismal development",7,3,0
"Vasopressin V2 receptor","CHEMBL1790",2012,112,"multicellular organismal development",8,3,0
"Vasopressin V2 receptor","CHEMBL1790",2013,112,"multicellular organismal development",8,4,0
"Vasopressin V2 receptor","CHEMBL1790",2015,112,"multicellular organismal development",8,3,0
"Vasopressin V2 receptor","CHEMBL1790",2016,112,"multicellular organismal development",1,1,0
"Vasopressin V2 receptor","CHEMBL1790",1998,112,"homeostatic process",15,1,1
"Vasopressin V2 receptor","CHEMBL1790",2000,112,"homeostatic process",21,2,1
"Vasopressin V2 receptor","CHEMBL1790",2002,112,"homeostatic process",14,1,1
"Vasopressin V2 receptor","CHEMBL1790",2003,112,"homeostatic process",24,2,0
"Vasopressin V2 receptor","CHEMBL1790",2004,112,"homeostatic process",11,1,0
"Vasopressin V2 receptor","CHEMBL1790",2005,112,"homeostatic process",11,3,1
"Vasopressin V2 receptor","CHEMBL1790",2006,112,"homeostatic process",11,2,0
"Vasopressin V2 receptor","CHEMBL1790",2007,112,"homeostatic process",21,2,1
"Vasopressin V2 receptor","CHEMBL1790",2008,112,"homeostatic process",48,3,0
"Vasopressin V2 receptor","CHEMBL1790",2009,112,"homeostatic process",34,5,0
"Vasopressin V2 receptor","CHEMBL1790",2010,112,"homeostatic process",63,5,0
"Vasopressin V2 receptor","CHEMBL1790",2011,112,"homeostatic process",7,3,0
"Vasopressin V2 receptor","CHEMBL1790",2012,112,"homeostatic process",8,3,0
"Vasopressin V2 receptor","CHEMBL1790",2013,112,"homeostatic process",8,4,0
"Vasopressin V2 receptor","CHEMBL1790",2015,112,"homeostatic process",8,3,0
"Vasopressin V2 receptor","CHEMBL1790",2016,112,"homeostatic process",1,1,0
"Vasopressin V2 receptor","CHEMBL1790",1998,112,"circulatory system process",15,1,1
"Vasopressin V2 receptor","CHEMBL1790",2000,112,"circulatory system process",21,2,1
"Vasopressin V2 receptor","CHEMBL1790",2002,112,"circulatory system process",14,1,1
"Vasopressin V2 receptor","CHEMBL1790",2003,112,"circulatory system process",24,2,0
"Vasopressin V2 receptor","CHEMBL1790",2004,112,"circulatory system process",11,1,0
"Vasopressin V2 receptor","CHEMBL1790",2005,112,"circulatory system process",11,3,1
"Vasopressin V2 receptor","CHEMBL1790",2006,112,"circulatory system process",11,2,0
"Vasopressin V2 receptor","CHEMBL1790",2007,112,"circulatory system process",21,2,1
"Vasopressin V2 receptor","CHEMBL1790",2008,112,"circulatory system process",48,3,0
"Vasopressin V2 receptor","CHEMBL1790",2009,112,"circulatory system process",34,5,0
"Vasopressin V2 receptor","CHEMBL1790",2010,112,"circulatory system process",63,5,0
"Vasopressin V2 receptor","CHEMBL1790",2011,112,"circulatory system process",7,3,0
"Vasopressin V2 receptor","CHEMBL1790",2012,112,"circulatory system process",8,3,0
"Vasopressin V2 receptor","CHEMBL1790",2013,112,"circulatory system process",8,4,0
"Vasopressin V2 receptor","CHEMBL1790",2015,112,"circulatory system process",8,3,0
"Vasopressin V2 receptor","CHEMBL1790",2016,112,"circulatory system process",1,1,0
"Vasopressin V1b receptor","CHEMBL1921",2009,148,"signal transduction",27,2,1
"Vasopressin V1b receptor","CHEMBL1921",2010,148,"signal transduction",68,3,0
"Vasopressin V1b receptor","CHEMBL1921",2011,148,"signal transduction",104,5,1
"Vasopressin V1b receptor","CHEMBL1921",2012,148,"signal transduction",3,2,0
"Vasopressin V1b receptor","CHEMBL1921",2013,148,"signal transduction",1,1,0
