"target_pref_name","target_chembl_id","publication_year","target_tid","go_pref_name","compound_count","PMID_count","disease_efficacy_count"
"Voltage-gated potassium channel subunit Kv7.5","CHEMBL2925",2013,12005,"transport",1,1,1
"Voltage-gated potassium channel subunit Kv7.5","CHEMBL2925",2013,12005,"transmembrane transport",1,1,1
"Voltage-gated potassium channel subunit Kv7.5","CHEMBL2925",2013,12005,"protein complex assembly",1,1,1
"Voltage-gated potassium channel subunit Kv7.5","CHEMBL2925",2013,12005,"cell-cell signaling",1,1,1
"Voltage-gated potassium channel subunit Kv7.4","CHEMBL3576",2013,11125,"transport",1,1,1
"Voltage-gated potassium channel subunit Kv7.4","CHEMBL3576",2015,11125,"transport",1,1,0
"Voltage-gated potassium channel subunit Kv7.4","CHEMBL3576",2013,11125,"transmembrane transport",1,1,1
"Voltage-gated potassium channel subunit Kv7.4","CHEMBL3576",2015,11125,"transmembrane transport",1,1,0
"Voltage-gated potassium channel subunit Kv7.4","CHEMBL3576",2013,11125,"neurological system process",1,1,1
"Voltage-gated potassium channel subunit Kv7.4","CHEMBL3576",2015,11125,"neurological system process",1,1,0
"Voltage-gated potassium channel subunit Kv7.4","CHEMBL3576",2013,11125,"embryo development",1,1,1
"Voltage-gated potassium channel subunit Kv7.4","CHEMBL3576",2015,11125,"embryo development",1,1,0
"Voltage-gated potassium channel subunit Kv7.3","CHEMBL2684",2013,12992,"transport",1,1,0
"Voltage-gated potassium channel subunit Kv7.3","CHEMBL2684",2013,12992,"transmembrane transport",1,1,0
"Voltage-gated potassium channel subunit Kv7.3","CHEMBL2684",2013,12992,"cell-cell signaling",1,1,0
"Voltage-gated potassium channel subunit Kv7.2","CHEMBL2476",2003,10397,"transport",2,1,0
"Voltage-gated potassium channel subunit Kv7.2","CHEMBL2476",2013,10397,"transport",1,1,1
"Voltage-gated potassium channel subunit Kv7.2","CHEMBL2476",2003,10397,"transmembrane transport",2,1,0
"Voltage-gated potassium channel subunit Kv7.2","CHEMBL2476",2013,10397,"transmembrane transport",1,1,1
"Voltage-gated potassium channel subunit Kv7.2","CHEMBL2476",2003,10397,"multicellular organismal development",2,1,0
"Voltage-gated potassium channel subunit Kv7.2","CHEMBL2476",2013,10397,"multicellular organismal development",1,1,1
"Voltage-gated potassium channel subunit Kv7.2","CHEMBL2476",2003,10397,"cell-cell signaling",2,1,0
"Voltage-gated potassium channel subunit Kv7.2","CHEMBL2476",2013,10397,"cell-cell signaling",1,1,1
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2012,12930,"transport",30,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2014,12930,"transport",1,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2012,12930,"transmembrane transport",30,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2014,12930,"transmembrane transport",1,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2012,12930,"response to stress",30,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2014,12930,"response to stress",1,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2012,12930,"neurological system process",30,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2014,12930,"neurological system process",1,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2012,12930,"multicellular organismal development",30,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2014,12930,"multicellular organismal development",1,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2012,12930,"digestion",30,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2014,12930,"digestion",1,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2012,12930,"circulatory system process",30,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2014,12930,"circulatory system process",1,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2012,12930,"cellular response to drug",30,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2014,12930,"cellular response to drug",1,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2012,12930,"cellular nitrogen compound metabolic process",30,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2014,12930,"cellular nitrogen compound metabolic process",1,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2012,12930,"cell-cell signaling",30,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2014,12930,"cell-cell signaling",1,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2012,12930,"autophagy",30,1,0
"Voltage-gated potassium channel subunit Kv7.1","CHEMBL1866",2014,12930,"autophagy",1,1,0
"Voltage-gated potassium channel subunit Kv4.3","CHEMBL1964",2001,11153,"transport",1,1,0
"Voltage-gated potassium channel subunit Kv4.3","CHEMBL1964",2001,11153,"transmembrane transport",1,1,0
"Voltage-gated potassium channel subunit Kv4.3","CHEMBL1964",2001,11153,"protein complex assembly",1,1,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",1995,10553,"transport",26,1,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",1997,10553,"transport",1,0,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",1999,10553,"transport",13,1,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",2003,10553,"transport",66,2,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",2005,10553,"transport",40,1,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",2010,10553,"transport",96,2,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",1995,10553,"transmembrane transport",26,1,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",1997,10553,"transmembrane transport",1,0,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",1999,10553,"transmembrane transport",13,1,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",2003,10553,"transmembrane transport",66,2,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",2005,10553,"transmembrane transport",40,1,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",2010,10553,"transmembrane transport",96,2,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",1995,10553,"protein complex assembly",26,1,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",1997,10553,"protein complex assembly",1,0,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",1999,10553,"protein complex assembly",13,1,0
"Voltage-gated potassium channel subunit Kv1.3","CHEMBL4633",2003,10553,"protein complex assembly",66,2,0
