"target_pref_name","target_chembl_id","publication_year","target_tid","go_pref_name","compound_count","PMID_count","disease_efficacy_count"
"myosin light chain kinase 2","CHEMBL2777",2005,12037,"phosphorylation",4,1,0
"myosin light chain kinase 2","CHEMBL2777",2008,12037,"phosphorylation",11,1,0
"myosin light chain kinase 2","CHEMBL2777",2011,12037,"phosphorylation",21,1,0
"myosin light chain kinase 2","CHEMBL2777",2013,12037,"phosphorylation",3,1,0
"myosin light chain kinase 2","CHEMBL2777",2016,12037,"phosphorylation",1,1,0
"myosin light chain kinase 2","CHEMBL2777",2005,12037,"multicellular organismal development",4,1,0
"myosin light chain kinase 2","CHEMBL2777",2008,12037,"multicellular organismal development",11,1,0
"myosin light chain kinase 2","CHEMBL2777",2011,12037,"multicellular organismal development",21,1,0
"myosin light chain kinase 2","CHEMBL2777",2013,12037,"multicellular organismal development",3,1,0
"myosin light chain kinase 2","CHEMBL2777",2016,12037,"multicellular organismal development",1,1,0
"myosin light chain kinase 2","CHEMBL2777",2005,12037,"circulatory system process",4,1,0
"myosin light chain kinase 2","CHEMBL2777",2008,12037,"circulatory system process",11,1,0
"myosin light chain kinase 2","CHEMBL2777",2011,12037,"circulatory system process",21,1,0
"myosin light chain kinase 2","CHEMBL2777",2013,12037,"circulatory system process",3,1,0
"myosin light chain kinase 2","CHEMBL2777",2016,12037,"circulatory system process",1,1,0
"myosin light chain kinase 2","CHEMBL2777",2005,12037,"cellular protein modification process",4,1,0
"myosin light chain kinase 2","CHEMBL2777",2008,12037,"cellular protein modification process",11,1,0
"myosin light chain kinase 2","CHEMBL2777",2011,12037,"cellular protein modification process",21,1,0
"myosin light chain kinase 2","CHEMBL2777",2013,12037,"cellular protein modification process",3,1,0
"myosin light chain kinase 2","CHEMBL2777",2016,12037,"cellular protein modification process",1,1,0
"myosin light chain kinase 2","CHEMBL2777",2005,12037,"cell-cell signaling",4,1,0
"myosin light chain kinase 2","CHEMBL2777",2008,12037,"cell-cell signaling",11,1,0
"myosin light chain kinase 2","CHEMBL2777",2011,12037,"cell-cell signaling",21,1,0
"myosin light chain kinase 2","CHEMBL2777",2013,12037,"cell-cell signaling",3,1,0
"myosin light chain kinase 2","CHEMBL2777",2016,12037,"cell-cell signaling",1,1,0
"myosin light chain kinase 2","CHEMBL2777",2005,12037,"cell differentiation",4,1,0
"myosin light chain kinase 2","CHEMBL2777",2008,12037,"cell differentiation",11,1,0
"myosin light chain kinase 2","CHEMBL2777",2011,12037,"cell differentiation",21,1,0
"myosin light chain kinase 2","CHEMBL2777",2013,12037,"cell differentiation",3,1,0
"myosin light chain kinase 2","CHEMBL2777",2016,12037,"cell differentiation",1,1,0
"cGMP-dependent protein kinase 2","CHEMBL2896",2008,11018,"signal transduction",3,1,0
"cGMP-dependent protein kinase 2","CHEMBL2896",2011,11018,"signal transduction",13,1,0
"cGMP-dependent protein kinase 2","CHEMBL2896",2008,11018,"regulation of catalytic activity",3,1,0
"cGMP-dependent protein kinase 2","CHEMBL2896",2011,11018,"regulation of catalytic activity",13,1,0
"cGMP-dependent protein kinase 2","CHEMBL2896",2008,11018,"protein targeting",3,1,0
"cGMP-dependent protein kinase 2","CHEMBL2896",2011,11018,"protein targeting",13,1,0
