"target_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","First*(protein_class_pref_name)"
"Adenosine A1 receptor","Schizophrenia",1382,2,"Adenosine receptor"
"Adenosine A2a receptor","Schizophrenia",1477,4,"Adenosine receptor"
"Alpha-1a adrenergic receptor","Schizophrenia",394,2,"Adrenergic receptor"
"Alpha-2a adrenergic receptor","Schizophrenia",237,0,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Schizophrenia",1106,4,"Cannabinoid receptor"
"Dopamine D1 receptor","Schizophrenia",247,0,"Dopamine receptor"
"Dopamine D2 receptor","Schizophrenia",1228,3,"Dopamine receptor"
"Dopamine D3 receptor","Schizophrenia",896,0,"Dopamine receptor"
"Glycogen synthase kinase-3 alpha","Schizophrenia",5,0,"CMGC protein kinase GSK family"
"Histamine H1 receptor","Schizophrenia",99,2,"Histamine receptor"
"Muscarinic acetylcholine receptor M1","Schizophrenia",266,2,"Acetylcholine receptor"
"Neurokinin 3 receptor","Schizophrenia",56,1,"Neurokinin receptor"
"Neuropeptide Y receptor type 1","Schizophrenia",84,0,"Neuropeptide Y receptor"
"Neurotensin receptor 1","Schizophrenia",3,1,"Neurotensin receptor"
"Oxytocin receptor","Schizophrenia",165,1,"Vasopressin and oxytocin receptor"
"Prostanoid EP3 receptor","Schizophrenia",55,0,"Prostanoid receptor"
"Serine/threonine-protein kinase AKT","Schizophrenia",390,0,"AGC protein kinase AKT family"
"Serotonin 1a (5-HT1a) receptor","Schizophrenia",833,4,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Schizophrenia",687,8,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Schizophrenia",337,0,"Serotonin receptor"
"Vasopressin V1a receptor","Schizophrenia",178,2,"Vasopressin and oxytocin receptor"
"Adenosine A2a receptor","Depressive disorder",1477,4,"Adenosine receptor"
"Alpha-2a adrenergic receptor","Depressive disorder",237,0,"Adrenergic receptor"
"Beta-1 adrenergic receptor","Depressive disorder",232,2,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Depressive disorder",1106,4,"Cannabinoid receptor"
"Dopamine D1 receptor","Depressive disorder",247,0,"Dopamine receptor"
"Dopamine D2 receptor","Depressive disorder",1228,3,"Dopamine receptor"
"Dopamine D3 receptor","Depressive disorder",896,0,"Dopamine receptor"
"Dopamine D5 receptor","Depressive disorder",80,0,"Dopamine receptor"
"Glycogen synthase kinase-3 alpha","Depressive disorder",5,0,"CMGC protein kinase GSK family"
"Neurokinin 1 receptor","Depressive disorder",394,2,"Neurokinin receptor"
"Neuropeptide Y receptor type 1","Depressive disorder",84,0,"Neuropeptide Y receptor"
"Oxytocin receptor","Depressive disorder",165,1,"Vasopressin and oxytocin receptor"
"Serine/threonine-protein kinase AKT","Depressive disorder",390,0,"AGC protein kinase AKT family"
"Serotonin 1a (5-HT1a) receptor","Depressive disorder",833,4,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Depressive disorder",252,1,"Serotonin receptor"
"Serotonin 1d (5-HT1d) receptor","Depressive disorder",252,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Depressive disorder",687,8,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Depressive disorder",337,0,"Serotonin receptor"
"Adenosine A2a receptor","Unipolar Depression",1477,4,"Adenosine receptor"
"Alpha-1a adrenergic receptor","Unipolar Depression",394,2,"Adrenergic receptor"
"Bradykinin B2 receptor","Unipolar Depression",105,0,"Bradykinin receptor"
