"protein_class_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","protein_class_short_name"
"AGC protein kinase AKT family","Malignant neoplasm of breast",1270,0,"Akt"
"AGC protein kinase PDK1 subfamily","Malignant neoplasm of breast",624,1,"Pdk1"
"Atypical protein kinase PIKK family","Malignant neoplasm of breast",46,0,"Pikk"
"CAMK protein kinase RSKb subfamily","Malignant neoplasm of breast",210,0,"Rskb"
"CXC chemokine receptor","Malignant neoplasm of breast",148,1,"CXC chemokine receptor"
"Cannabinoid receptor","Malignant neoplasm of breast",3615,2,"Cannabinoid receptor"
"Endothelin receptor","Malignant neoplasm of breast",11,0,"Endothelin receptor"
"STE protein kinase PAKA subfamily","Malignant neoplasm of breast",199,0,"Paka"
"STE protein kinase STE11 family","Malignant neoplasm of breast",12,0,"Ste11"
"Steroid-like ligand receptor","Malignant neoplasm of breast",4,0,"Steroid-like ligand receptor"
"TKL protein kinase RAF family","Malignant neoplasm of breast",1484,3,"Raf"
"Tyrosine protein kinase Abl family","Malignant neoplasm of breast",973,3,"Abl"
"Tyrosine protein kinase FGFR family","Malignant neoplasm of breast",240,0,"Fgfr"
"Tyrosine protein kinase InsR family","Malignant neoplasm of breast",1068,2,"InsR"
"Tyrosine protein kinase PDGFR family","Malignant neoplasm of breast",445,3,"Pdgfr"
"Tyrosine protein kinase Src family","Malignant neoplasm of breast",458,2,"Src"
"Tyrosine protein kinase Tec family","Malignant neoplasm of breast",647,1,"Tec"
"Tyrosine protein kinase Tie family","Malignant neoplasm of breast",93,3,"Tie"
"Tyrosine protein kinase VEGFR family","Malignant neoplasm of breast",2535,4,"Vegfr"
"AGC protein kinase AKT family","Schizophrenia",1270,0,"Akt"
"Atypical protein kinase PIKK family","Schizophrenia",46,0,"Pikk"
"CAMK protein kinase CAMK2 family","Schizophrenia",15,0,"Camk2"
"CC chemokine receptor","Schizophrenia",604,3,"CC chemokine receptor"
"CMGC protein kinase ERK subfamily","Schizophrenia",1075,1,"Erk"
"CMGC protein kinase p38 subfamily","Schizophrenia",1328,9,"p38"
"Cannabinoid receptor","Schizophrenia",3615,2,"Cannabinoid receptor"
"Histamine receptor","Schizophrenia",651,2,"Histamine receptor"
"Hydroxycarboxylic acid receptor","Schizophrenia",372,0,"Hydroxycarboxylic acid receptor"
"Opioid receptor","Schizophrenia",1577,3,"Opioid receptor"
"STE protein kinase PAKA subfamily","Schizophrenia",36,0,"Paka"
"Tyrosine protein kinase FGFR family","Schizophrenia",240,0,"Fgfr"
"Tyrosine protein kinase Src family","Schizophrenia",84,0,"Src"
"Tyrosine protein kinase Trk family","Schizophrenia",970,1,"Trk"
"Tyrosine protein kinase VEGFR family","Schizophrenia",2535,4,"Vegfr"
"AGC protein kinase AKT family","Breast Carcinoma",1270,0,"Akt"
"AGC protein kinase PDK1 subfamily","Breast Carcinoma",624,1,"Pdk1"
"Atypical protein kinase PIKK family","Breast Carcinoma",46,0,"Pikk"
"CXC chemokine receptor","Breast Carcinoma",148,1,"CXC chemokine receptor"
"Cannabinoid receptor","Breast Carcinoma",3615,2,"Cannabinoid receptor"
"Endothelin receptor","Breast Carcinoma",11,0,"Endothelin receptor"
"STE protein kinase PAKA subfamily","Breast Carcinoma",199,0,"Paka"
"STE protein kinase STE11 family","Breast Carcinoma",12,0,"Ste11"
"Steroid-like ligand receptor","Breast Carcinoma",4,0,"Steroid-like ligand receptor"
"TKL protein kinase RAF family","Breast Carcinoma",1484,3,"Raf"
"Tyrosine protein kinase Abl family","Breast Carcinoma",973,3,"Abl"
"Tyrosine protein kinase FGFR family","Breast Carcinoma",240,0,"Fgfr"
"Tyrosine protein kinase InsR family","Breast Carcinoma",1068,2,"InsR"
"Tyrosine protein kinase PDGFR family","Breast Carcinoma",445,3,"Pdgfr"
"Tyrosine protein kinase Src family","Breast Carcinoma",458,2,"Src"
"Tyrosine protein kinase Tec family","Breast Carcinoma",647,1,"Tec"
"Tyrosine protein kinase VEGFR family","Breast Carcinoma",2535,4,"Vegfr"
"AGC protein kinase AKT family","Mammary Neoplasms",1270,0,"Akt"
"AGC protein kinase PDK1 subfamily","Mammary Neoplasms",624,1,"Pdk1"
"Atypical protein kinase PIKK family","Mammary Neoplasms",46,0,"Pikk"
"CXC chemokine receptor","Mammary Neoplasms",148,1,"CXC chemokine receptor"
"Cannabinoid receptor","Mammary Neoplasms",3615,2,"Cannabinoid receptor"
"Endothelin receptor","Mammary Neoplasms",11,0,"Endothelin receptor"
"STE protein kinase PAKA subfamily","Mammary Neoplasms",199,0,"Paka"
"STE protein kinase STE11 family","Mammary Neoplasms",12,0,"Ste11"
"Steroid-like ligand receptor","Mammary Neoplasms",4,0,"Steroid-like ligand receptor"
"TKL protein kinase RAF family","Mammary Neoplasms",294,0,"Raf"
"TKL protein kinase STKR Type 2 subfamily","Mammary Neoplasms",56,0,"Type2"
"Tyrosine protein kinase Abl family","Mammary Neoplasms",973,3,"Abl"
"Tyrosine protein kinase FGFR family","Mammary Neoplasms",240,0,"Fgfr"
"Tyrosine protein kinase InsR family","Mammary Neoplasms",1068,2,"InsR"
"Tyrosine protein kinase PDGFR family","Mammary Neoplasms",445,3,"Pdgfr"
"Tyrosine protein kinase Src family","Mammary Neoplasms",458,2,"Src"
"Tyrosine protein kinase VEGFR family","Mammary Neoplasms",2535,4,"Vegfr"
"AGC protein kinase AKT family","Mammary Neoplasms, Human",1270,0,"Akt"
"AGC protein kinase PDK1 subfamily","Mammary Neoplasms, Human",624,1,"Pdk1"
"Atypical protein kinase PIKK family","Mammary Neoplasms, Human",46,0,"Pikk"
"CXC chemokine receptor","Mammary Neoplasms, Human",148,1,"CXC chemokine receptor"
"Cannabinoid receptor","Mammary Neoplasms, Human",3615,2,"Cannabinoid receptor"
"Endothelin receptor","Mammary Neoplasms, Human",11,0,"Endothelin receptor"
"STE protein kinase PAKA subfamily","Mammary Neoplasms, Human",199,0,"Paka"
"STE protein kinase STE11 family","Mammary Neoplasms, Human",12,0,"Ste11"
"Steroid-like ligand receptor","Mammary Neoplasms, Human",4,0,"Steroid-like ligand receptor"
"TKL protein kinase RAF family","Mammary Neoplasms, Human",294,0,"Raf"
"Tyrosine protein kinase Abl family","Mammary Neoplasms, Human",973,3,"Abl"
"Tyrosine protein kinase FGFR family","Mammary Neoplasms, Human",240,0,"Fgfr"
"Tyrosine protein kinase InsR family","Mammary Neoplasms, Human",1068,2,"InsR"
"Tyrosine protein kinase PDGFR family","Mammary Neoplasms, Human",445,3,"Pdgfr"
"Tyrosine protein kinase Src family","Mammary Neoplasms, Human",458,2,"Src"
"Tyrosine protein kinase VEGFR family","Mammary Neoplasms, Human",2535,4,"Vegfr"
"AGC protein kinase AKT family","Intellectual Disability",1270,0,"Akt"
"CAMK protein kinase CAMK2 family","Intellectual Disability",15,0,"Camk2"
"CAMK protein kinase PKD family","Intellectual Disability",56,0,"Pkd"
"CAMK protein kinase RSKb subfamily","Intellectual Disability",210,0,"Rskb"
"Endothelin receptor","Intellectual Disability",11,0,"Endothelin receptor"
"STE protein kinase PAKA subfamily","Intellectual Disability",24,0,"Paka"
"STE protein kinase STE11 family","Intellectual Disability",12,0,"Ste11"
"STE protein kinase STE7 family","Intellectual Disability",247,7,"Ste7"
"TKL protein kinase IRAK family","Intellectual Disability",45,0,"Irak"
"TKL protein kinase LIMK subfamily","Intellectual Disability",230,0,"Limk"
"TKL protein kinase RAF family","Intellectual Disability",1484,3,"Raf"
"TKL protein kinase STKR Type 1 subfamily","Intellectual Disability",488,1,"Type1"
"TKL protein kinase STKR Type 2 subfamily","Intellectual Disability",56,0,"Type2"
"Tyrosine protein kinase FGFR family","Intellectual Disability",240,0,"Fgfr"
