"target_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","First*(protein_class_pref_name)"
"C-C chemokine receptor type 5","Schizophrenia",555,0,"CC chemokine receptor"
"CaM kinase II beta","Schizophrenia",7,0,"CAMK protein kinase CAMK2 family"
"Cannabinoid CB2 receptor","Schizophrenia",1202,1,"Cannabinoid receptor"
"Fibroblast growth factor receptor 2","Schizophrenia",20,0,"Tyrosine protein kinase FGFR family"
"Histamine H1 receptor","Schizophrenia",99,2,"Histamine receptor"
"Hydroxycarboxylic acid receptor 2","Schizophrenia",171,0,"Hydroxycarboxylic acid receptor"
"MAP kinase ERK1","Schizophrenia",38,0,"CMGC protein kinase ERK subfamily"
"MAP kinase ERK2","Schizophrenia",74,0,"CMGC protein kinase ERK subfamily"
"MAP kinase p38 alpha","Schizophrenia",736,5,"CMGC protein kinase p38 subfamily"
"Mu opioid receptor","Schizophrenia",1087,4,"Opioid receptor"
"Nerve growth factor receptor Trk-A","Schizophrenia",109,0,"Tyrosine protein kinase Trk family"
"Serine-protein kinase ATM","Schizophrenia",6,0,"Atypical protein kinase PIKK family"
"Serine/threonine-protein kinase AKT","Schizophrenia",390,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase PAK 2","Schizophrenia",4,0,"STE protein kinase PAKA subfamily"
"Tyrosine-protein kinase FYN","Schizophrenia",39,0,"Tyrosine protein kinase Src family"
"Vascular endothelial growth factor receptor 2","Schizophrenia",1515,3,"Tyrosine protein kinase VEGFR family"
"3-phosphoinositide dependent protein kinase-1","Malignant neoplasm of breast",58,0,"AGC protein kinase PDK1 subfamily"
"C-X-C chemokine receptor type 4","Malignant neoplasm of breast",56,1,"CXC chemokine receptor"
"Cannabinoid CB2 receptor","Malignant neoplasm of breast",1202,1,"Cannabinoid receptor"
"Endothelin receptor ET-B","Malignant neoplasm of breast",19,0,"Endothelin receptor"
"Fibroblast growth factor receptor 2","Malignant neoplasm of breast",20,0,"Tyrosine protein kinase FGFR family"
"Inhibitor of nuclear factor kappa B kinase beta subunit","Malignant neoplasm of breast",170,0,"Other protein kinase group"
"Insulin-like growth factor I receptor","Malignant neoplasm of breast",208,0,"Tyrosine protein kinase InsR family"
"Macrophage colony stimulating factor  receptor","Malignant neoplasm of breast",120,2,"Tyrosine protein kinase PDGFR family"
"Ribosomal protein S6 kinase alpha 3","Malignant neoplasm of breast",18,0,"CAMK protein kinase RSKb subfamily"
"Serine-protein kinase ATM","Malignant neoplasm of breast",6,0,"Atypical protein kinase PIKK family"
"Serine/threonine-protein kinase AKT","Malignant neoplasm of breast",390,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase B-raf","Malignant neoplasm of breast",132,1,"TKL protein kinase RAF family"
"Serine/threonine-protein kinase PAK 1","Malignant neoplasm of breast",6,0,"STE protein kinase PAKA subfamily"
"Serine/threonine-protein kinase RAF","Malignant neoplasm of breast",26,0,"TKL protein kinase RAF family"
"Stem cell growth factor receptor","Malignant neoplasm of breast",192,7,"Tyrosine protein kinase PDGFR family"
"Tyrosine-protein kinase ABL","Malignant neoplasm of breast",165,3,"Tyrosine protein kinase Abl family"
"Tyrosine-protein kinase BTK","Malignant neoplasm of breast",17,0,"Tyrosine protein kinase Tec family"
"Tyrosine-protein kinase SRC","Malignant neoplasm of breast",627,3,"Tyrosine protein kinase Src family"
"Tyrosine-protein kinase TIE-2","Malignant neoplasm of breast",291,1,"Tyrosine protein kinase Tie family"
"Vascular endothelial growth factor receptor 1","Malignant neoplasm of breast",225,0,"Tyrosine protein kinase VEGFR family"
"Vascular endothelial growth factor receptor 2","Malignant neoplasm of breast",1515,3,"Tyrosine protein kinase VEGFR family"
"3-phosphoinositide dependent protein kinase-1","Breast Carcinoma",58,0,"AGC protein kinase PDK1 subfamily"
"C-X-C chemokine receptor type 4","Breast Carcinoma",56,1,"CXC chemokine receptor"
"Cannabinoid CB2 receptor","Breast Carcinoma",1202,1,"Cannabinoid receptor"
"Endothelin receptor ET-B","Breast Carcinoma",19,0,"Endothelin receptor"
"Fibroblast growth factor receptor 2","Breast Carcinoma",20,0,"Tyrosine protein kinase FGFR family"
"Insulin-like growth factor I receptor","Breast Carcinoma",208,0,"Tyrosine protein kinase InsR family"
"Macrophage colony stimulating factor  receptor","Breast Carcinoma",120,2,"Tyrosine protein kinase PDGFR family"
"Serine-protein kinase ATM","Breast Carcinoma",6,0,"Atypical protein kinase PIKK family"
