"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"anatomical structure development","Activin receptor type-1",8,0
"anatomical structure formation involved in morphogenesis","Activin receptor type-1",8,0
"cell cycle","Activin receptor type-1",8,0
"cell differentiation","Activin receptor type-1",8,0
"cell motility","Activin receptor type-1",8,0
"cellular protein modification process","Activin receptor type-1",8,0
"embryo development","Activin receptor type-1",8,0
"multicellular organismal development","Activin receptor type-1",8,0
"phosphorylation","Activin receptor type-1",8,0
"reproduction","Activin receptor type-1",8,0
"response to stress","Activin receptor type-1",8,0
"signal transduction","Activin receptor type-1",8,0
"cell cycle","CaM kinase II alpha",10,0
"cell death","CaM kinase II alpha",10,0
"cellular protein modification process","CaM kinase II alpha",10,0
"immune system process","CaM kinase II alpha",10,0
"membrane organization","CaM kinase II alpha",10,0
"mitochondrion organization","CaM kinase II alpha",10,0
"phosphorylation","CaM kinase II alpha",10,0
"positive regulation of apoptotic process","CaM kinase II alpha",10,0
"positive regulation of catalytic activity","CaM kinase II alpha",10,0
"response to stress","CaM kinase II alpha",10,0
"signal transduction","CaM kinase II alpha",10,0
"transport","CaM kinase II alpha",10,0
"cell differentiation","CaM kinase II beta",7,0
"cell morphogenesis","CaM kinase II beta",7,0
"cellular protein modification process","CaM kinase II beta",7,0
"immune system process","CaM kinase II beta",7,0
"multicellular organismal development","CaM kinase II beta",7,0
"phosphorylation","CaM kinase II beta",7,0
"positive regulation of catalytic activity","CaM kinase II beta",7,0
"response to stress","CaM kinase II beta",7,0
"signal transduction","CaM kinase II beta",7,0
"cell cycle","CaM kinase II gamma",7,0
"cell differentiation","CaM kinase II gamma",7,0
"cell-cell signaling","CaM kinase II gamma",7,0
"cellular protein modification process","CaM kinase II gamma",7,0
"immune system process","CaM kinase II gamma",7,0
"multicellular organismal development","CaM kinase II gamma",7,0
"phosphorylation","CaM kinase II gamma",7,0
"positive regulation of catalytic activity","CaM kinase II gamma",7,0
"protein complex assembly","CaM kinase II gamma",7,0
"response to stress","CaM kinase II gamma",7,0
"signal transduction","CaM kinase II gamma",7,0
"transport","CaM kinase II gamma",7,0
"cell-cell signaling","Casein kinase I gamma 1",6,0
"cellular protein modification process","Casein kinase I gamma 1",6,0
"phosphorylation","Casein kinase I gamma 1",6,0
"signal transduction","Casein kinase I gamma 1",6,0
"vesicle-mediated transport","Casein kinase I gamma 1",6,0
"biosynthetic process","Casein kinase II alpha",45,0
"cell cycle","Casein kinase II alpha",45,0
"cell death","Casein kinase II alpha",45,0
"cellular nitrogen compound metabolic process","Casein kinase II alpha",45,0
"cellular protein modification process","Casein kinase II alpha",45,0
"negative regulation of endopeptidase activity","Casein kinase II alpha",45,0
"phosphorylation","Casein kinase II alpha",45,0
"protein folding","Casein kinase II alpha",45,0
"signal transduction","Casein kinase II alpha",45,0
"cellular protein modification process","Cell division cycle 2-like protein kinase 6",11,0
"phosphorylation","Cell division cycle 2-like protein kinase 6",11,0
"positive regulation of apoptotic process","Cell division cycle 2-like protein kinase 6",11,0
"biosynthetic process","Cell division protein kinase 8",8,0
"cellular nitrogen compound metabolic process","Cell division protein kinase 8",8,0
"cellular protein modification process","Cell division protein kinase 8",8,0
"phosphorylation","Cell division protein kinase 8",8,0
"cell adhesion","Discoidin domain-containing receptor 2",13,0
"cell proliferation","Discoidin domain-containing receptor 2",13,0
"cellular protein modification process","Discoidin domain-containing receptor 2",13,0
"extracellular matrix organization","Discoidin domain-containing receptor 2",13,0
"growth","Discoidin domain-containing receptor 2",13,0
"multicellular organismal development","Discoidin domain-containing receptor 2",13,0
"phosphorylation","Discoidin domain-containing receptor 2",13,0
"positive regulation of catalytic activity","Discoidin domain-containing receptor 2",13,0
"signal transduction","Discoidin domain-containing receptor 2",13,0
"aging","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"anatomical structure development","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"anatomical structure formation involved in morphogenesis","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"autophagy","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"catabolic process","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"cell cycle","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"cell differentiation","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"cell motility","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"cell proliferation","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"cellular protein modification process","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"embryo development","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"immune system process","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"locomotion","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"mitochondrion organization","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"multicellular organismal development","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"phosphorylation","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"positive regulation of catalytic activity","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"proteolysis","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"reproduction","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"response to stress","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"signal transduction","Dual specificity mitogen-activated protein kinase kinase 1",134,0
"anatomical structure development","Dual specificity mitogen-activated protein kinase kinase 2",13,0
"anatomical structure formation involved in morphogenesis","Dual specificity mitogen-activated protein kinase kinase 2",13,0
"cell differentiation","Dual specificity mitogen-activated protein kinase kinase 2",13,0
"cell proliferation","Dual specificity mitogen-activated protein kinase kinase 2",13,0
"cellular protein modification process","Dual specificity mitogen-activated protein kinase kinase 2",13,0
"immune system process","Dual specificity mitogen-activated protein kinase kinase 2",13,0
"multicellular organismal development","Dual specificity mitogen-activated protein kinase kinase 2",13,0
"phosphorylation","Dual specificity mitogen-activated protein kinase kinase 2",13,0
"positive regulation of catalytic activity","Dual specificity mitogen-activated protein kinase kinase 2",13,0
"proteolysis","Dual specificity mitogen-activated protein kinase kinase 2",13,0
"signal transduction","Dual specificity mitogen-activated protein kinase kinase 2",13,0
"cellular protein modification process","Dual-specificity tyrosine-phosphorylation regulated kinase 1A",5,0
"multicellular organismal development","Dual-specificity tyrosine-phosphorylation regulated kinase 1A",5,0
"phosphorylation","Dual-specificity tyrosine-phosphorylation regulated kinase 1A",5,0
"anatomical structure development","Fibroblast growth factor receptor 1",145,0
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",145,0
"biosynthetic process","Fibroblast growth factor receptor 1",145,0
"cell differentiation","Fibroblast growth factor receptor 1",145,0
"cell division","Fibroblast growth factor receptor 1",145,0
"cell motility","Fibroblast growth factor receptor 1",145,0
"cell proliferation","Fibroblast growth factor receptor 1",145,0
"cell-cell signaling","Fibroblast growth factor receptor 1",145,0
"cellular nitrogen compound metabolic process","Fibroblast growth factor receptor 1",145,0
"cellular protein modification process","Fibroblast growth factor receptor 1",145,0
"developmental maturation","Fibroblast growth factor receptor 1",145,0
"embryo development","Fibroblast growth factor receptor 1",145,0
"lipid metabolic process","Fibroblast growth factor receptor 1",145,0
"multicellular organismal development","Fibroblast growth factor receptor 1",145,0
"neurological system process","Fibroblast growth factor receptor 1",145,0
"phosphorylation","Fibroblast growth factor receptor 1",145,0
"positive regulation of catalytic activity","Fibroblast growth factor receptor 1",145,0
"signal transduction","Fibroblast growth factor receptor 1",145,0
"anatomical structure development","Fibroblast growth factor receptor 2",20,0
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 2",20,0
"biosynthetic process","Fibroblast growth factor receptor 2",20,0
"cell death","Fibroblast growth factor receptor 2",20,0
"cell differentiation","Fibroblast growth factor receptor 2",20,0
"cell division","Fibroblast growth factor receptor 2",20,0
"cell morphogenesis","Fibroblast growth factor receptor 2",20,0
"cell proliferation","Fibroblast growth factor receptor 2",20,0
"cell-cell signaling","Fibroblast growth factor receptor 2",20,0
"cellular protein modification process","Fibroblast growth factor receptor 2",20,0
"embryo development","Fibroblast growth factor receptor 2",20,0
"growth","Fibroblast growth factor receptor 2",20,0
"immune system process","Fibroblast growth factor receptor 2",20,0
"lipid metabolic process","Fibroblast growth factor receptor 2",20,0
"multicellular organismal development","Fibroblast growth factor receptor 2",20,0
"phosphorylation","Fibroblast growth factor receptor 2",20,0
"positive regulation of catalytic activity","Fibroblast growth factor receptor 2",20,0
"reproduction","Fibroblast growth factor receptor 2",20,0
"signal transduction","Fibroblast growth factor receptor 2",20,0
"biosynthetic process","Fibroblast growth factor receptor 3",18,1
"cell death","Fibroblast growth factor receptor 3",18,1
"cell differentiation","Fibroblast growth factor receptor 3",18,1
"cell proliferation","Fibroblast growth factor receptor 3",18,1
"cell-cell signaling","Fibroblast growth factor receptor 3",18,1
"cellular protein modification process","Fibroblast growth factor receptor 3",18,1
"developmental maturation","Fibroblast growth factor receptor 3",18,1
"growth","Fibroblast growth factor receptor 3",18,1
"lipid metabolic process","Fibroblast growth factor receptor 3",18,1
"multicellular organismal development","Fibroblast growth factor receptor 3",18,1
"phosphorylation","Fibroblast growth factor receptor 3",18,1
"positive regulation of catalytic activity","Fibroblast growth factor receptor 3",18,1
"signal transduction","Fibroblast growth factor receptor 3",18,1
"cell differentiation","Hepatocyte growth factor receptor",100,2
"cell morphogenesis","Hepatocyte growth factor receptor",100,2
"cell proliferation","Hepatocyte growth factor receptor",100,2
"cellular protein modification process","Hepatocyte growth factor receptor",100,2
"locomotion","Hepatocyte growth factor receptor",100,2
"multicellular organismal development","Hepatocyte growth factor receptor",100,2
"phosphorylation","Hepatocyte growth factor receptor",100,2
"signal transduction","Hepatocyte growth factor receptor",100,2
"anatomical structure development","Inhibitor of nuclear factor kappa B kinase alpha subunit",72,0
"cell differentiation","Inhibitor of nuclear factor kappa B kinase alpha subunit",72,0
"cellular protein modification process","Inhibitor of nuclear factor kappa B kinase alpha subunit",72,0
"immune system process","Inhibitor of nuclear factor kappa B kinase alpha subunit",72,0
"phosphorylation","Inhibitor of nuclear factor kappa B kinase alpha subunit",72,0
"response to stress","Inhibitor of nuclear factor kappa B kinase alpha subunit",72,0
"response to toxic substance","Inhibitor of nuclear factor kappa B kinase alpha subunit",72,0
"signal transduction","Inhibitor of nuclear factor kappa B kinase alpha subunit",72,0
"anatomical structure development","Insulin receptor",30,0
"carbohydrate metabolic process","Insulin receptor",30,0
"cell differentiation","Insulin receptor",30,0
"cellular protein modification process","Insulin receptor",30,0
"homeostatic process","Insulin receptor",30,0
"multicellular organismal development","Insulin receptor",30,0
"phosphorylation","Insulin receptor",30,0
"positive regulation of catalytic activity","Insulin receptor",30,0
"protein complex assembly","Insulin receptor",30,0
"reproduction","Insulin receptor",30,0
"signal transduction","Insulin receptor",30,0
"symbiosis, encompassing mutualism through parasitism","Insulin receptor",30,0
"cellular protein modification process","Insulin-like growth factor I receptor",208,0
"immune system process","Insulin-like growth factor I receptor",208,0
"phosphorylation","Insulin-like growth factor I receptor",208,0
"protein complex assembly","Insulin-like growth factor I receptor",208,0
"regulation of catalytic activity","Insulin-like growth factor I receptor",208,0
"signal transduction","Insulin-like growth factor I receptor",208,0
"aging","Interleukin-1 receptor-associated kinase 1",2,0
"cellular protein modification process","Interleukin-1 receptor-associated kinase 1",2,0
"immune system process","Interleukin-1 receptor-associated kinase 1",2,0
"phosphorylation","Interleukin-1 receptor-associated kinase 1",2,0
"positive regulation of catalytic activity","Interleukin-1 receptor-associated kinase 1",2,0
"protein complex assembly","Interleukin-1 receptor-associated kinase 1",2,0
"response to stress","Interleukin-1 receptor-associated kinase 1",2,0
"signal transduction","Interleukin-1 receptor-associated kinase 1",2,0
"cell differentiation","LIM domain kinase 1",8,0
"cellular protein modification process","LIM domain kinase 1",8,0
"cytoskeleton organization","LIM domain kinase 1",8,0
"immune system process","LIM domain kinase 1",8,0
"multicellular organismal development","LIM domain kinase 1",8,0
"phosphorylation","LIM domain kinase 1",8,0
"regulation of catalytic activity","LIM domain kinase 1",8,0
"signal transduction","LIM domain kinase 1",8,0
"vesicle-mediated transport","LIM domain kinase 1",8,0
"cell differentiation","Macrophage colony stimulating factor  receptor",120,2
"cell junction organization","Macrophage colony stimulating factor  receptor",120,2
"cell morphogenesis","Macrophage colony stimulating factor  receptor",120,2
"cell proliferation","Macrophage colony stimulating factor  receptor",120,2
"cellular protein modification process","Macrophage colony stimulating factor  receptor",120,2
"immune system process","Macrophage colony stimulating factor  receptor",120,2
"lipid metabolic process","Macrophage colony stimulating factor  receptor",120,2
"locomotion","Macrophage colony stimulating factor  receptor",120,2
"multicellular organismal development","Macrophage colony stimulating factor  receptor",120,2
"phosphorylation","Macrophage colony stimulating factor  receptor",120,2
"positive regulation of catalytic activity","Macrophage colony stimulating factor  receptor",120,2
"regulation of protein localization","Macrophage colony stimulating factor  receptor",120,2
"response to stress","Macrophage colony stimulating factor  receptor",120,2
"signal transduction","Macrophage colony stimulating factor  receptor",120,2
"cell death","Myotonin-protein kinase",9,0
"cellular protein modification process","Myotonin-protein kinase",9,0
"homeostatic process","Myotonin-protein kinase",9,0
"membrane organization","Myotonin-protein kinase",9,0
"phosphorylation","Myotonin-protein kinase",9,0
"regulation of catalytic activity","Myotonin-protein kinase",9,0
"signal transduction","Myotonin-protein kinase",9,0
