"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"biosynthetic process","Bone morphogenetic protein receptor type-1B",35,0
"cell differentiation","Bone morphogenetic protein receptor type-1B",35,0
"cell morphogenesis","Bone morphogenetic protein receptor type-1B",35,0
"cellular protein modification process","Bone morphogenetic protein receptor type-1B",35,0
"growth","Bone morphogenetic protein receptor type-1B",35,0
"locomotion","Bone morphogenetic protein receptor type-1B",35,0
"multicellular organismal development","Bone morphogenetic protein receptor type-1B",35,0
"phosphorylation","Bone morphogenetic protein receptor type-1B",35,0
"positive regulation of apoptotic process","Bone morphogenetic protein receptor type-1B",35,0
"reproduction","Bone morphogenetic protein receptor type-1B",35,0
"response to stress","Bone morphogenetic protein receptor type-1B",35,0
"signal transduction","Bone morphogenetic protein receptor type-1B",35,0
"cellular protein modification process","CaM-kinase kinase beta",25,0
"phosphorylation","CaM-kinase kinase beta",25,0
"regulation of catalytic activity","CaM-kinase kinase beta",25,0
"signal transduction","CaM-kinase kinase beta",25,0
"DNA metabolic process","DNA-dependent protein kinase",188,0
"anatomical structure development","DNA-dependent protein kinase",188,0
"anatomical structure formation involved in morphogenesis","DNA-dependent protein kinase",188,0
"cell adhesion","DNA-dependent protein kinase",188,0
"cell cycle","DNA-dependent protein kinase",188,0
"cell death","DNA-dependent protein kinase",188,0
"cell differentiation","DNA-dependent protein kinase",188,0
"cell proliferation","DNA-dependent protein kinase",188,0
"cellular protein modification process","DNA-dependent protein kinase",188,0
"chromosome organization","DNA-dependent protein kinase",188,0
"embryo development","DNA-dependent protein kinase",188,0
"homeostatic process","DNA-dependent protein kinase",188,0
"immune system process","DNA-dependent protein kinase",188,0
"multicellular organismal development","DNA-dependent protein kinase",188,0
"phosphorylation","DNA-dependent protein kinase",188,0
"positive regulation of apoptotic process","DNA-dependent protein kinase",188,0
"reproduction","DNA-dependent protein kinase",188,0
"response to stress","DNA-dependent protein kinase",188,0
"signal transduction","DNA-dependent protein kinase",188,0
"anatomical structure development","Ephrin type-B receptor 2",26,0
"anatomical structure formation involved in morphogenesis","Ephrin type-B receptor 2",26,0
"cell differentiation","Ephrin type-B receptor 2",26,0
"cell morphogenesis","Ephrin type-B receptor 2",26,0
"cellular protein modification process","Ephrin type-B receptor 2",26,0
"embryo development","Ephrin type-B receptor 2",26,0
"locomotion","Ephrin type-B receptor 2",26,0
"multicellular organismal development","Ephrin type-B receptor 2",26,0
"neurological system process","Ephrin type-B receptor 2",26,0
"phosphorylation","Ephrin type-B receptor 2",26,0
"signal transduction","Ephrin type-B receptor 2",26,0
"anatomical structure development","Epidermal growth factor receptor erbB1",2185,9
"cell adhesion","Epidermal growth factor receptor erbB1",2185,9
"cell morphogenesis","Epidermal growth factor receptor erbB1",2185,9
"cell motility","Epidermal growth factor receptor erbB1",2185,9
"cell proliferation","Epidermal growth factor receptor erbB1",2185,9
"cellular protein modification process","Epidermal growth factor receptor erbB1",2185,9
"embryo development","Epidermal growth factor receptor erbB1",2185,9
"lipid metabolic process","Epidermal growth factor receptor erbB1",2185,9
"membrane organization","Epidermal growth factor receptor erbB1",2185,9
"multicellular organismal development","Epidermal growth factor receptor erbB1",2185,9
"neurological system process","Epidermal growth factor receptor erbB1",2185,9
"phosphorylation","Epidermal growth factor receptor erbB1",2185,9
"positive regulation of catalytic activity","Epidermal growth factor receptor erbB1",2185,9
"regulation of catalytic activity","Epidermal growth factor receptor erbB1",2185,9
"regulation of protein localization","Epidermal growth factor receptor erbB1",2185,9
"reproduction","Epidermal growth factor receptor erbB1",2185,9
"response to stress","Epidermal growth factor receptor erbB1",2185,9
"signal transduction","Epidermal growth factor receptor erbB1",2185,9
"anatomical structure development","Epithelial discoidin domain-containing receptor 1",100,0
"cell adhesion","Epithelial discoidin domain-containing receptor 1",100,0
"cell motility","Epithelial discoidin domain-containing receptor 1",100,0
"cellular protein modification process","Epithelial discoidin domain-containing receptor 1",100,0
"extracellular matrix organization","Epithelial discoidin domain-containing receptor 1",100,0
"female pregnancy","Epithelial discoidin domain-containing receptor 1",100,0
"multicellular organismal development","Epithelial discoidin domain-containing receptor 1",100,0
"phosphorylation","Epithelial discoidin domain-containing receptor 1",100,0
"response to stress","Epithelial discoidin domain-containing receptor 1",100,0
"signal transduction","Epithelial discoidin domain-containing receptor 1",100,0
"transport","Epithelial discoidin domain-containing receptor 1",100,0
"biosynthetic process","Fibroblast growth factor receptor 4",35,0
"cell motility","Fibroblast growth factor receptor 4",35,0
"cellular protein modification process","Fibroblast growth factor receptor 4",35,0
"homeostatic process","Fibroblast growth factor receptor 4",35,0
"lipid metabolic process","Fibroblast growth factor receptor 4",35,0
"phosphorylation","Fibroblast growth factor receptor 4",35,0
"positive regulation of catalytic activity","Fibroblast growth factor receptor 4",35,0
"signal transduction","Fibroblast growth factor receptor 4",35,0
"aging","Glycogen synthase kinase-3 beta",928,2
"anatomical structure development","Glycogen synthase kinase-3 beta",928,2
"anatomical structure formation involved in morphogenesis","Glycogen synthase kinase-3 beta",928,2
"carbohydrate metabolic process","Glycogen synthase kinase-3 beta",928,2
"catabolic process","Glycogen synthase kinase-3 beta",928,2
"cell cycle","Glycogen synthase kinase-3 beta",928,2
"cell death","Glycogen synthase kinase-3 beta",928,2
"cell differentiation","Glycogen synthase kinase-3 beta",928,2
"cell morphogenesis","Glycogen synthase kinase-3 beta",928,2
"cell motility","Glycogen synthase kinase-3 beta",928,2
"cell-cell signaling","Glycogen synthase kinase-3 beta",928,2
"cellular nitrogen compound metabolic process","Glycogen synthase kinase-3 beta",928,2
"cellular protein modification process","Glycogen synthase kinase-3 beta",928,2
"generation of precursor metabolites and energy","Glycogen synthase kinase-3 beta",928,2
"membrane organization","Glycogen synthase kinase-3 beta",928,2
"mitochondrion organization","Glycogen synthase kinase-3 beta",928,2
"multicellular organismal development","Glycogen synthase kinase-3 beta",928,2
"nucleocytoplasmic transport","Glycogen synthase kinase-3 beta",928,2
"phosphorylation","Glycogen synthase kinase-3 beta",928,2
"positive regulation of apoptotic process","Glycogen synthase kinase-3 beta",928,2
"positive regulation of catalytic activity","Glycogen synthase kinase-3 beta",928,2
"protein complex assembly","Glycogen synthase kinase-3 beta",928,2
"proteolysis","Glycogen synthase kinase-3 beta",928,2
"regulation of catalytic activity","Glycogen synthase kinase-3 beta",928,2
"regulation of protein localization","Glycogen synthase kinase-3 beta",928,2
"response to stress","Glycogen synthase kinase-3 beta",928,2
"signal transduction","Glycogen synthase kinase-3 beta",928,2
"transport","Glycogen synthase kinase-3 beta",928,2
"cell differentiation","Hepatocyte growth factor receptor",2414,14
"cell morphogenesis","Hepatocyte growth factor receptor",2414,14
"cell proliferation","Hepatocyte growth factor receptor",2414,14
