"protein_class_pref_name","protein_class_short_name","go_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"Adenosine receptor","Adenosine receptor","biosynthetic process",0.3047332719044729,4,2
"Adenosine receptor","Adenosine receptor","catabolic process",0.3047332719044729,4,1
"Adenosine receptor","Adenosine receptor","cell death",0.3047332719044729,4,1
"Adenosine receptor","Adenosine receptor","cell-cell signaling",0.3047332719044729,4,4
"Adenosine receptor","Adenosine receptor","cellular nitrogen compound metabolic process",0.3047332719044729,4,1
"Adenosine receptor","Adenosine receptor","circulatory system process",0.3047332719044729,4,7
"Adenosine receptor","Adenosine receptor","homeostatic process",0.3047332719044729,4,5
"Adenosine receptor","Adenosine receptor","lipid metabolic process",0.3047332719044729,4,2
"Adenosine receptor","Adenosine receptor","membrane organization",0.3047332719044729,4,1
"Adenosine receptor","Adenosine receptor","metabolic process",0.3047332719044729,4,3
"Adenosine receptor","Adenosine receptor","multicellular organismal development",0.3047332719044729,4,4
"Adenosine receptor","Adenosine receptor","neurological system process",0.3047332719044729,4,5
"Adenosine receptor","Adenosine receptor","positive regulation of catalytic activity",0.3047332719044729,4,3
"Adenosine receptor","Adenosine receptor","protein targeting",0.3047332719044729,4,2
"Adenosine receptor","Adenosine receptor","response to stress",0.3047332719044729,4,5
"Adenosine receptor","Adenosine receptor","signal transduction",0.3047332719044729,4,7
"Adenosine receptor","Adenosine receptor","small molecule metabolic process",0.3047332719044729,4,1
"Adenosine receptor","Adenosine receptor","vesicle-mediated transport",0.3047332719044729,4,3
"Adrenergic receptor","Adrenergic receptor","DNA metabolic process",0.11164118836541576,0,1
"Adrenergic receptor","Adrenergic receptor","biosynthetic process",0.11164118836541576,0,2
"Adrenergic receptor","Adrenergic receptor","cell proliferation",0.11164118836541576,0,1
"Adrenergic receptor","Adrenergic receptor","cell-cell signaling",0.11164118836541576,0,4
"Adrenergic receptor","Adrenergic receptor","circulatory system process",0.11164118836541576,0,7
"Adrenergic receptor","Adrenergic receptor","cytoskeleton organization",0.11164118836541576,0,1
"Adrenergic receptor","Adrenergic receptor","digestion",0.11164118836541576,0,1
