"go_pref_name","target_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"DNA metabolic process","Alpha-2a adrenergic receptor",0.09780397065251917,0,1
"aging","Cannabinoid CB1 receptor",1.0921967526565886,6,1
"biosynthetic process","Adenosine A2a receptor",1.1569800901306044,11,2
"biosynthetic process","Alpha-2a adrenergic receptor",0.09780397065251917,0,2
"catabolic process","Adenosine A1 receptor",0.9286659978678105,7,1
"cell death","Adenosine A1 receptor",0.9286659978678105,7,2
"cell death","Adenosine A2a receptor",1.1569800901306044,11,2
"cell differentiation","Cannabinoid CB1 receptor",1.0921967526565886,6,3
"cell differentiation","Dopamine D1 receptor",0.17579556139793637,0,3
"cell differentiation","Dopamine D2 receptor",1.1220725636276152,7,3
"cell morphogenesis","Dopamine D2 receptor",1.1220725636276152,7,1
"cell motility","Dopamine D1 receptor",0.17579556139793637,0,3
"cell motility","Dopamine D2 receptor",1.1220725636276152,7,3
"cell motility","Histamine H1 receptor",0.21604928565363557,2,3
"cell proliferation","Alpha-1b adrenergic receptor",0.15252387706261025,0,1
"cell-cell signaling","Adenosine A1 receptor",0.9286659978678105,7,7
"cell-cell signaling","Adenosine A2a receptor",1.1569800901306044,11,7
"cell-cell signaling","Alpha-1b adrenergic receptor",0.15252387706261025,0,7
"cell-cell signaling","Dopamine D1 receptor",0.17579556139793637,0,7
"cell-cell signaling","Dopamine D2 receptor",1.1220725636276152,7,7
"cell-cell signaling","Serotonin 1b (5-HT1b) receptor",0.09340121956205205,2,7
"cell-cell signaling","Serotonin 1d (5-HT1d) receptor",0.10094879285999565,2,7
"cellular component assembly","Dopamine D1 receptor",0.17579556139793637,0,2
"cellular component assembly","Dopamine D2 receptor",1.1220725636276152,7,2
"cellular nitrogen compound metabolic process","Adenosine A2a receptor",1.1569800901306044,11,1
"cellular response to drug","Serotonin 1b (5-HT1b) receptor",0.09340121956205205,2,1
"circulatory system process","Adenosine A1 receptor",0.9286659978678105,7,11
"circulatory system process","Adenosine A2a receptor",1.1569800901306044,11,11
"circulatory system process","Alpha-1b adrenergic receptor",0.15252387706261025,0,11
"circulatory system process","Alpha-2a adrenergic receptor",0.09780397065251917,0,11
"circulatory system process","Bradykinin B2 receptor",0.045599922008409254,0,11
"circulatory system process","Cannabinoid CB1 receptor",1.0921967526565886,6,11
"circulatory system process","Dopamine D1 receptor",0.17579556139793637,0,11
"circulatory system process","Dopamine D2 receptor",1.1220725636276152,7,11
"circulatory system process","Histamine H1 receptor",0.21604928565363557,2,11
"circulatory system process","Serotonin 1b (5-HT1b) receptor",0.09340121956205205,2,11
"circulatory system process","Serotonin 1d (5-HT1d) receptor",0.10094879285999565,2,11
"cytoskeleton organization","Alpha-2a adrenergic receptor",0.09780397065251917,0,1
"digestion","Alpha-2a adrenergic receptor",0.09780397065251917,0,1
"female pregnancy","Alpha-2a adrenergic receptor",0.09780397065251917,0,2
"female pregnancy","Cannabinoid CB1 receptor",1.0921967526565886,6,2
"homeostatic process","Adenosine A1 receptor",0.9286659978678105,7,7
