"Protein Class Name","Protein Class Short Name","Percentage of Measurements","Number of Measurements"
"Opioid receptor","Opioid receptor",2.0985398590490685,6673
"Tyrosine protein kinase JakB family","Jakb",1.916769135456927,6095
"Cannabinoid receptor","Cannabinoid receptor",1.466430595346292,4663
"Tyrosine protein kinase VEGFR family","Vegfr",1.234657198655274,3926
"CC chemokine receptor","CC chemokine receptor",1.0695540327627577,3401
"Prostanoid receptor","Prostanoid receptor",0.7534994009113695,2396
"Tyrosine protein kinase Syk family","Syk",0.6751933279452047,2147
"Tyrosine protein kinase Src family","Src",0.6588402524663268,2095
"Tyrosine protein kinase PDGFR family","Pdgfr",0.6305368525990382,2005
"TKL protein kinase RAF family","Raf",0.6069506860429645,1930
"EDG receptor","EDG receptor",0.5839934839283861,1857
"CMGC protein kinase p38 subfamily","p38",0.5780183217341808,1838
"AGC protein kinase AKT family","Akt",0.5097756798319407,1621
"CXC chemokine receptor","CXC chemokine receptor",0.5091467153904454,1619
"Tyrosine protein kinase InsR family","InsR",0.40065034923250614,1274
"CMGC protein kinase ERK subfamily","Erk",0.3877565781818525,1233
"Tyrosine protein kinase Abl family","Abl",0.35316353389961097,1123
"Tyrosine protein kinase Fak family","Fak",0.3519056050166204,1119
"Tyrosine protein kinase Tec family","Tec",0.3374394228622285,1073
"Tyrosine protein kinase Trk family","Trk",0.3349235650962473,1065
"Other protein kinase group","Other",0.2635361009865307,838
"Histamine receptor","Histamine receptor",0.2603912787790542,828
"AGC protein kinase PDK1 subfamily","Pdk1",0.21416239232914966,681
"Tyrosine protein kinase Axl family","Axl",0.18460106357887057,587
"TKL protein kinase STKR Type 1 subfamily","Type1",0.18271417025438466,581
"Hydroxycarboxylic acid receptor","Hydroxycarboxylic acid receptor",0.17076384586597396,543
"AGC protein kinase PKC delta subfamily","Delta",0.1421459637779378,452
"STE protein kinase STE7 family","Ste7",0.14151699933644252,450
"Tyrosine protein kinase Ack family","Ack",0.13742873046672305,437
"Tyrosine protein kinase Ret family","Ret",0.12170461942934056,387
"TKL protein kinase IRAK family","Irak",0.11415704613139696,363
"AGC protein kinase ROCK subfamily","Rock",0.11289911724840637,359
"Atypical protein kinase PIKK family","Pikk",0.09780397065251917,311
"Tyrosine protein kinase Tie family","Tie",0.09560259510728561,304
"AGC protein kinase PKC alpha subfamily","Alpha",0.09182880845831382,292
"CMGC protein kinase group","Cmgc",0.08836950403008967,281
"STE protein kinase PAKA subfamily","Paka",0.08648261070560376,275
"Tyrosine protein kinase FGFR family","Fgfr",0.08019296629065076,255
"TKL protein kinase LIMK subfamily","Limk",0.0742178040964454,236
"CAMK protein kinase RSKb subfamily","Rskb",0.07012953522672595,223
"STE protein kinase STE11 family","Ste11",0.06509781969476355,207
"Tyrosine protein kinase Eph family","Eph",0.05503438863083876,175
"TKL protein kinase RIPK family","Ripk",0.048430261995138106,154
"Bradykinin receptor","Bradykinin receptor",0.045599922008409254,145
"CAMK protein kinase DAPK family","Dapk",0.04119717091794215,131
"Anaphylatoxin receptor","Anaphylatoxin",0.040882688697194504,130
"TKL protein kinase TAK1 subfamily","Tak1",0.03962475981420391,126
"AGC protein kinase PKC eta subfamily","Eta",0.034593044282241504,110
"CAMK protein kinase CAMK2 family","Camk2",0.031448222074765005,100
"Other protein kinase PKR","Pkr",0.031448222074765005,100
"CAMK protein kinase PKD family","Pkd",0.031133739854017354,99
"Leukotriene receptor","Leukotriene receptor",0.0276744354257932,88
"STE protein kinase MST subfamily","Mst",0.0257875421013073,82
"CMGC protein kinase HIPK subfamily","Hipk",0.025158577659812005,80
"Tyrosine protein kinase Csk family","Csk",0.023900648776821402,76
"TKL protein kinase STKR Type 2 subfamily","Type2",0.022957202114578454,73
"CAMK protein kinase MELK subfamily","Melk",0.021070308790092553,67
"Tyrosine protein kinase Met family","Met",0.020755826569344903,66
"AGC protein kinase PKA family","Pka",0.0201268621278496,64
"Protease-activated receptor","Protease-activated receptor",0.0182399688033637,58
"Other protein kinase GCN2 subfamily","Gcn2",0.0169820399203731,54
"Purine receptor","Purine receptor",0.016353075478877804,52
"CX3C chemokine receptor","CX3C chemokine receptor",0.016038593258130153,51
"Other protein kinase IKK family","Ikk",0.014466182154391903,46
"AGC protein kinase PKN family","Pkn",0.013522735492148953,43
"CAMK protein kinase MSKb subfamily","Mskb",0.0113213599469154,36
"Other protein kinase HRI","Hri",0.010692395505420102,34
"Tyrosine protein kinase Fer family","Fer",0.010377913284672451,33
"STE protein kinase unique family","Ste-Unique",0.009748948843177152,31
"Tyrosine protein kinase Srm","Srm",0.009434466622429501,30
"Family A G protein-coupled receptor","7TM1",0.0069186088564483,22
"CAMK protein kinase LKB subfamily","Lkb",0.006289644414953001,20
"CMGC protein kinase SRPK family","Srpk",0.005975162194205351,19
"CAMK protein kinase CAMK1 family","Camkl",0.0056606799734577,18
"Endothelin receptor","Endothelin receptor",0.0037737866489718002,12
"CAMK protein kinase MAPKAPK subfamily","Mapkapk",0.0022013755452335504,7
"PAF receptor","PAF",0.0012579288829906,4
"Steroid-like ligand receptor","Steroid-like ligand receptor",0.0012579288829906,4
