"protein_class_pref_name","protein_class_short_name","go_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"Transient receptor potential channel","TRP","homeostatic process",0.7170194633046421,4,2
"Transient receptor potential channel","TRP","neurological system process",0.7170194633046421,4,1
"Transient receptor potential channel","TRP","signal transduction",0.7170194633046421,4,2
"Transient receptor potential channel","TRP","transmembrane transport",0.7170194633046421,4,2
"Transient receptor potential channel","TRP","transport",0.7170194633046421,4,2
"Voltage-gated potassium channel","VG K","cellular protein modification process",1.9884710817873912,1,1
"Voltage-gated potassium channel","VG K","cellular response to drug",1.9884710817873912,1,1
"Voltage-gated potassium channel","VG K","circulatory system process",1.9884710817873912,1,1
"Voltage-gated potassium channel","VG K","homeostatic process",1.9884710817873912,1,2
"Voltage-gated potassium channel","VG K","phosphorylation",1.9884710817873912,1,1
"Voltage-gated potassium channel","VG K","signal transduction",1.9884710817873912,1,2
"Voltage-gated potassium channel","VG K","transmembrane transport",1.9884710817873912,1,2
"Voltage-gated potassium channel","VG K","transport",1.9884710817873912,1,2
