"go_pref_name","target_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"cellular protein modification process","HERG",1.9884710817873912,1,1
"cellular response to drug","HERG",1.9884710817873912,1,1
"circulatory system process","HERG",1.9884710817873912,1,1
"homeostatic process","HERG",1.9884710817873912,1,2
"homeostatic process","Vanilloid receptor",0.7170194633046421,4,2
"neurological system process","Vanilloid receptor",0.7170194633046421,4,1
"phosphorylation","HERG",1.9884710817873912,1,1
"signal transduction","HERG",1.9884710817873912,1,2
"signal transduction","Vanilloid receptor",0.7170194633046421,4,2
"transmembrane transport","HERG",1.9884710817873912,1,2
"transmembrane transport","Vanilloid receptor",0.7170194633046421,4,2
"transport","HERG",1.9884710817873912,1,2
"transport","Vanilloid receptor",0.7170194633046421,4,2
