"target_pref_name","diseaseName","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"Adenosine A1 receptor","Adverse reaction to drug",1.325467361323935,1
"Adenosine A1 receptor","Bradycardia",1.325467361323935,1
"Adenosine A1 receptor","Brain Stem Ischemia, Transient",1.325467361323935,1
"Adenosine A1 receptor","Carotid Circulation Transient Ischemic Attack",1.325467361323935,1
"Adenosine A1 receptor","Catalepsy",1.325467361323935,1
"Adenosine A1 receptor","Colorectal Cancer",1.325467361323935,1
"Adenosine A1 receptor","Crescendo Transient Ischemic Attacks",1.325467361323935,1
"Adenosine A1 receptor","Drug Allergy",1.325467361323935,1
"Adenosine A1 receptor","Drug Withdrawal Symptoms",1.325467361323935,1
"Adenosine A1 receptor","Drug toxicity",1.325467361323935,1
"Adenosine A1 receptor","Embolic Infarction, Middle Cerebral Artery",1.325467361323935,1
"Adenosine A1 receptor","Hypotension",1.325467361323935,1
"Adenosine A1 receptor","Infarction, Middle Cerebral Artery",1.325467361323935,1
"Adenosine A1 receptor","Ischemia",1.325467361323935,1
"Adenosine A1 receptor","Left Middle Cerebral Artery Infarction",1.325467361323935,1
"Adenosine A1 receptor","Middle Cerebral Artery Embolus",1.325467361323935,1
"Adenosine A1 receptor","Middle Cerebral Artery Occlusion",1.325467361323935,1
"Adenosine A1 receptor","Middle Cerebral Artery Syndrome",1.325467361323935,1
"Adenosine A1 receptor","Middle Cerebral Artery Thrombosis",1.325467361323935,1
"Adenosine A1 receptor","Myocardial Infarction",1.325467361323935,1
"Adenosine A1 receptor","Nerve Degeneration",1.325467361323935,1
"Adenosine A1 receptor","Perinatal Subarachnoid Hemorrhage",1.325467361323935,1
"Adenosine A1 receptor","Posterior Circulation Transient Ischemic Attack",1.325467361323935,1
"Adenosine A1 receptor","Prenatal Exposure Delayed Effects",1.325467361323935,1
"Adenosine A1 receptor","Right Middle Cerebral Artery Infarction",1.325467361323935,1
"Adenosine A1 receptor","Schizophrenia",1.325467361323935,1
"Adenosine A1 receptor","Subarachnoid Hemorrhage",1.325467361323935,1
"Adenosine A1 receptor","Subarachnoid Hemorrhage, Aneurysmal",1.325467361323935,1
"Adenosine A1 receptor","Subarachnoid Hemorrhage, Intracranial",1.325467361323935,1
"Adenosine A1 receptor","Subarachnoid Hemorrhage, Spontaneous",1.325467361323935,1
"Adenosine A1 receptor","Substance Withdrawal Syndrome",1.325467361323935,1
"Adenosine A1 receptor","Thrombotic Infarction, Middle Cerebral Artery",1.325467361323935,1
"Adenosine A1 receptor","Transient Cerebral Ischemia",1.325467361323935,1
"Adenosine A1 receptor","Transient Ischemic Attack",1.325467361323935,1
"Adenosine A1 receptor","Transient Ischemic Attack, Anterior Circulation",1.325467361323935,1
"Adenosine A1 receptor","Transient Ischemic Attack, Vertebrobasilar Circulation",1.325467361323935,1
"Adenosine A1 receptor","Ventricular Dysfunction",1.325467361323935,1
"Adenosine A1 receptor","Waxy flexibility",1.325467361323935,1
