"protein_class_pref_name","protein_class_short_name","diseaseName","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_class_Connectivity"
"AGC protein kinase AKT family","Akt","Ache",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Acute Promyelocytic Leukemia",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Adenocarcinoma of large intestine",0.10470936765757484,0,11
"AGC protein kinase AKT family","Akt","Adenocarcinoma of lung (disorder)",0.10470936765757484,0,8
"AGC protein kinase AKT family","Akt","Adenocarcinoma of prostate",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Adenomatous Polyposis Coli",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Amphetamine Abuse",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Amphetamine Addiction",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Amphetamine-Related Disorders",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Angioblastic Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Angiomatous Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Aortic valve calcification",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Aura",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Awakening Epilepsy",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Benign Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Bipolar Disorder",0.10470936765757484,0,9
"AGC protein kinase AKT family","Akt","Breast Cancer, Familial",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Breast Cancer, Familial Male",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Breast Carcinoma",0.10470936765757484,0,14
"AGC protein kinase AKT family","Akt","Breast adenocarcinoma",0.10470936765757484,0,3
"AGC protein kinase AKT family","Akt","COWDEN SYNDROME 6",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","COWDEN-LIKE SYNDROME (disorder)",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Cannabis Abuse",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Cannabis Dependence",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Cannabis-Related Disorder",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Cardiac Hypertrophy",0.10470936765757484,0,3
"AGC protein kinase AKT family","Akt","Cardiomegaly",0.10470936765757484,0,3
"AGC protein kinase AKT family","Akt","Cardiomyopathies",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Cardiomyopathies, Primary",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Cerebral Convexity Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Cirrhosis",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Clear Cell Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Colorectal Cancer",0.10470936765757484,0,8
"AGC protein kinase AKT family","Akt","Colorectal Carcinoma",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Colorectal Neoplasms",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Condition, Preneoplastic",0.10470936765757484,0,3
"AGC protein kinase AKT family","Akt","Cutaneous Melanoma",0.10470936765757484,0,5
"AGC protein kinase AKT family","Akt","Depressive disorder",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Endometrial adenocarcinoma",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Epilepsy",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Epilepsy, Cryptogenic",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Epileptic encephalopathy",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Familial Intestinal Polyposis",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Fibrosis",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Fibrous Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Hamartoma Syndrome, Multiple",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Hashish Abuse",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Hemangioblastic Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Hemangiopericytic Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Histiocytoma, Benign Fibrous",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Hyperplasia",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Inflammation",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Intellectual Disability",0.10470936765757484,0,19
"AGC protein kinase AKT family","Akt","Intracranial Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Intraorbital Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Intraventricular Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Lung Neoplasms",0.10470936765757484,0,8
"AGC protein kinase AKT family","Akt","Macrocephaly mesodermal hamartoma spectrum",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Malignant Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Malignant Neoplasms",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Malignant neoplasm of breast",0.10470936765757484,0,17
"AGC protein kinase AKT family","Akt","Malignant neoplasm of lung",0.10470936765757484,0,8
"AGC protein kinase AKT family","Akt","Malignant neoplasm of ovary",0.10470936765757484,0,3
"AGC protein kinase AKT family","Akt","Malignant neoplasm of prostate",0.10470936765757484,0,5
"AGC protein kinase AKT family","Akt","Malignant neoplasm of skin",0.10470936765757484,0,5
"AGC protein kinase AKT family","Akt","Mammary Neoplasms",0.10470936765757484,0,14
"AGC protein kinase AKT family","Akt","Mammary Neoplasms, Human",0.10470936765757484,0,13
"AGC protein kinase AKT family","Akt","Marijuana Abuse",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Meningiomas, Multiple",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Meningothelial meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Mental Depression",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Microcystic meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Mood Disorders",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Muscular Atrophy",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Myocardial Diseases, Secondary",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Neoplasm of uncertain or unknown behavior of breast",0.10470936765757484,0,3
"AGC protein kinase AKT family","Akt","Neoplasm of uncertain or unknown behavior of ovary",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Neurogenic Muscular Atrophy",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Non-Small Cell Lung Carcinoma",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Obesity",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Olfactory Groove Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Osteosarcoma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Ovarian Carcinoma",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Pain",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Pain, Burning",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Pain, Crushing",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Pain, Migratory",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Pain, Splitting",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Papillary Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Parasagittal Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Polyposis, Adenomatous Intestinal",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Posterior Fossa Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Precancerous Conditions",0.10470936765757484,0,3
"AGC protein kinase AKT family","Akt","Prostatic Neoplasms",0.10470936765757484,0,5
"AGC protein kinase AKT family","Akt","Proteus Syndrome",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Proteus-Like Syndrome (disorder)",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Psammomatous Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Psychoses, Drug",0.10470936765757484,0,3
"AGC protein kinase AKT family","Akt","Psychoses, Substance-Induced",0.10470936765757484,0,3
"AGC protein kinase AKT family","Akt","Radiating pain",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Schizophrenia",0.10470936765757484,0,12
"AGC protein kinase AKT family","Akt","Secretory meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Skin Neoplasms",0.10470936765757484,0,5
"AGC protein kinase AKT family","Akt","Small cell carcinoma of lung",0.10470936765757484,0,3
"AGC protein kinase AKT family","Akt","Sphenoid Wing Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Spinal Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Squamous cell carcinoma",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Squamous cell carcinoma of the head and neck",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Suffering, Physical",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","T-Cell Lymphoma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Transitional Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Xanthomatous Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","melanoma",0.10470936765757484,0,9
"AGC protein kinase AKT family","Akt","ovarian neoplasm",0.10470936765757484,0,3
"AGC protein kinase PDK1 subfamily","Pdk1","Breast Carcinoma",0.0025538870160384105,0,14
"AGC protein kinase PDK1 subfamily","Pdk1","Breast adenocarcinoma",0.0025538870160384105,0,3
"AGC protein kinase PDK1 subfamily","Pdk1","Congestive heart failure",0.0025538870160384105,0,2
"AGC protein kinase PDK1 subfamily","Pdk1","Diffuse Large B-Cell Lymphoma",0.0025538870160384105,0,2
"AGC protein kinase PDK1 subfamily","Pdk1","Heart Decompensation",0.0025538870160384105,0,2
"AGC protein kinase PDK1 subfamily","Pdk1","Heart Failure, Right-Sided",0.0025538870160384105,0,2
"AGC protein kinase PDK1 subfamily","Pdk1","Heart failure",0.0025538870160384105,0,2
"AGC protein kinase PDK1 subfamily","Pdk1","Left-Sided Heart Failure",0.0025538870160384105,0,2
"AGC protein kinase PDK1 subfamily","Pdk1","Malignant neoplasm of breast",0.0025538870160384105,0,17
"AGC protein kinase PDK1 subfamily","Pdk1","Mammary Neoplasms",0.0025538870160384105,0,14
"AGC protein kinase PDK1 subfamily","Pdk1","Mammary Neoplasms, Human",0.0025538870160384105,0,13
"AGC protein kinase PDK1 subfamily","Pdk1","Myocardial Failure",0.0025538870160384105,0,2
"AGC protein kinase PDK1 subfamily","Pdk1","Neoplasm of uncertain or unknown behavior of breast",0.0025538870160384105,0,3
"AGC protein kinase PKC alpha subfamily","Alpha","Adenocarcinoma of large intestine",0.3677597303095311,2,11
"AGC protein kinase PKC alpha subfamily","Alpha","Adult T-Cell Lymphoma/Leukemia",0.3677597303095311,2,3
