"target_pref_name","diseaseName","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"3-phosphoinositide dependent protein kinase-1","Breast Carcinoma",0.21416239232914966,1,20
"3-phosphoinositide dependent protein kinase-1","Breast adenocarcinoma",0.21416239232914966,1,5
"3-phosphoinositide dependent protein kinase-1","Congestive heart failure",0.21416239232914966,1,2
"3-phosphoinositide dependent protein kinase-1","Diffuse Large B-Cell Lymphoma",0.21416239232914966,1,2
"3-phosphoinositide dependent protein kinase-1","Heart Decompensation",0.21416239232914966,1,2
"3-phosphoinositide dependent protein kinase-1","Heart Failure, Right-Sided",0.21416239232914966,1,2
"3-phosphoinositide dependent protein kinase-1","Heart failure",0.21416239232914966,1,2
"3-phosphoinositide dependent protein kinase-1","Left-Sided Heart Failure",0.21416239232914966,1,2
"3-phosphoinositide dependent protein kinase-1","Malignant neoplasm of breast",0.21416239232914966,1,23
"3-phosphoinositide dependent protein kinase-1","Mammary Neoplasms",0.21416239232914966,1,19
"3-phosphoinositide dependent protein kinase-1","Mammary Neoplasms, Human",0.21416239232914966,1,18
"3-phosphoinositide dependent protein kinase-1","Myocardial Failure",0.21416239232914966,1,2
"3-phosphoinositide dependent protein kinase-1","Neoplasm of uncertain or unknown behavior of breast",0.21416239232914966,1,5
"Bone morphogenetic protein receptor type-1A","Bmpr1a-Related Juvenile Polyposis",0.0056606799734577,0,1
"Bone morphogenetic protein receptor type-1A","COLORECTAL CANCER, SUSCEPTIBILITY TO, 4",0.0056606799734577,0,1
"Bone morphogenetic protein receptor type-1A","COLORECTAL CANCER, SUSCEPTIBILITY TO, ON CHROMOSOME 15",0.0056606799734577,0,1
"Bone morphogenetic protein receptor type-1A","Colorectal Cancer",0.0056606799734577,0,14
"Bone morphogenetic protein receptor type-1A","Conventional (Clear Cell) Renal Cell Carcinoma",0.0056606799734577,0,8
"Bone morphogenetic protein receptor type-1A","Craniofacial Abnormalities",0.0056606799734577,0,3
"Bone morphogenetic protein receptor type-1A","Eye Abnormalities",0.0056606799734577,0,2
"Bone morphogenetic protein receptor type-1A","Familial Colorectal Cancer Type X",0.0056606799734577,0,1
"Bone morphogenetic protein receptor type-1A","Female Urogenital Diseases",0.0056606799734577,0,1
"Bone morphogenetic protein receptor type-1A","Gastric Adenocarcinoma",0.0056606799734577,0,12
"Bone morphogenetic protein receptor type-1A","Gastrointestinal Neoplasms",0.0056606799734577,0,3
"Bone morphogenetic protein receptor type-1A","JUVENILE POLYPOSIS OF STOMACH",0.0056606799734577,0,1
"Bone morphogenetic protein receptor type-1A","Juvenile Polyposis Coli",0.0056606799734577,0,1
"Bone morphogenetic protein receptor type-1A","Juvenile polyposis syndrome",0.0056606799734577,0,1
"Bone morphogenetic protein receptor type-1A","Malignant Neoplasms",0.0056606799734577,0,12
"Bone morphogenetic protein receptor type-1A","POLYPOSIS SYNDROME, HEREDITARY MIXED, 1",0.0056606799734577,0,1
"Bone morphogenetic protein receptor type-1A","Polyposis Syndrome, Hereditary Mixed, 2",0.0056606799734577,0,1
"Bone morphogenetic protein receptor type-1A","Smad4-Related Juvenile Polyposis",0.0056606799734577,0,1
"Bradykinin B2 receptor","Ache",0.045599922008409254,0,4
"Bradykinin B2 receptor","Active Hyperemia",0.045599922008409254,0,1
"Bradykinin B2 receptor","Acute Kidney Insufficiency",0.045599922008409254,0,2
"Bradykinin B2 receptor","Acute kidney injury",0.045599922008409254,0,2
"Bradykinin B2 receptor","Allodynia",0.045599922008409254,0,10
"Bradykinin B2 receptor","Bipolar Disorder",0.045599922008409254,0,9
"Bradykinin B2 receptor","Cardiomyopathies",0.045599922008409254,0,7
"Bradykinin B2 receptor","Cardiomyopathies, Primary",0.045599922008409254,0,7
"Bradykinin B2 receptor","Epilepsy, Benign Psychomotor, Childhood",0.045599922008409254,0,3
"Bradykinin B2 receptor","Epilepsy, Lateral Temporal",0.045599922008409254,0,3
"Bradykinin B2 receptor","Epilepsy, Temporal Lobe",0.045599922008409254,0,3
"Bradykinin B2 receptor","Extravasation of Contrast Media",0.045599922008409254,0,1
"Bradykinin B2 receptor","Extravasation of Diagnostic and Therapeutic Materials",0.045599922008409254,0,1
"Bradykinin B2 receptor","Hemorrhage",0.045599922008409254,0,1
"Bradykinin B2 receptor","Hyperalgesia",0.045599922008409254,0,10
"Bradykinin B2 receptor","Hyperalgesia, Primary",0.045599922008409254,0,10
"Bradykinin B2 receptor","Hyperalgesia, Secondary",0.045599922008409254,0,10
"Bradykinin B2 receptor","Hyperalgesia, Thermal",0.045599922008409254,0,10
"Bradykinin B2 receptor","Hyperemia",0.045599922008409254,0,1
"Bradykinin B2 receptor","Hypertensive disease",0.045599922008409254,0,6
"Bradykinin B2 receptor","Hypotension",0.045599922008409254,0,2
"Bradykinin B2 receptor","Inflammation",0.045599922008409254,0,7
