"go_pref_name","target_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"DNA metabolic process","Casein kinase I delta",0.046857850891399856,0,5
"DNA metabolic process","Serine-protein kinase ATM",0.016353075478877804,0,5
"DNA metabolic process","Serine/threonine-protein kinase Chk1",0.2748574609334461,3,5
"DNA metabolic process","Serine/threonine-protein kinase Chk2",0.028617882088036152,0,5
"DNA metabolic process","Tyrosine-protein kinase ABL",0.35316353389961097,4,5
"aging","Serine-protein kinase ATM",0.016353075478877804,0,4
"aging","Serine/threonine-protein kinase AKT",0.5097756798319407,0,4
"aging","Serine/threonine-protein kinase Chk1",0.2748574609334461,3,4
"aging","Serine/threonine-protein kinase Chk2",0.028617882088036152,0,4
"anatomical structure development","Activin receptor type-1",0.020441344348597252,0,13
"anatomical structure development","Epidermal growth factor receptor erbB1",0.8535047471091222,9,13
"anatomical structure development","Fibroblast growth factor receptor 1",0.19151967243531887,1,13
"anatomical structure development","Fibroblast growth factor receptor 2",0.08019296629065076,0,13
"anatomical structure development","Receptor protein-tyrosine kinase erbB-4",0.022957202114578454,1,13
"anatomical structure development","Serine-protein kinase ATM",0.016353075478877804,0,13
"anatomical structure development","Serine/threonine-protein kinase AKT",0.5097756798319407,0,13
"anatomical structure development","Serine/threonine-protein kinase B-raf",0.5082032687282025,3,13
"anatomical structure development","Serine/threonine-protein kinase RAF",0.09874741731476211,0,13
"anatomical structure development","Stem cell growth factor receptor",0.17831141916391757,12,13
"anatomical structure development","Tyrosine-protein kinase BTK",0.2078727479141967,1,13
"anatomical structure development","Tyrosine-protein kinase SRC",0.28177606978989445,3,13
"anatomical structure development","Vascular endothelial growth factor receptor 2",1.1138960258881765,5,13
"anatomical structure formation involved in morphogenesis","Activin receptor type-1",0.020441344348597252,0,10
"anatomical structure formation involved in morphogenesis","Bone morphogenetic protein receptor type-2",0.00911998440168185,0,10
"anatomical structure formation involved in morphogenesis","Casein kinase I delta",0.046857850891399856,0,10
"anatomical structure formation involved in morphogenesis","Ephrin type-B receptor 4",0.043713028683923356,0,10
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",0.19151967243531887,1,10
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 2",0.08019296629065076,0,10
"anatomical structure formation involved in morphogenesis","Serine-protein kinase ATM",0.016353075478877804,0,10
"anatomical structure formation involved in morphogenesis","Tyrosine-protein kinase TIE-2",0.09560259510728561,3,10
"anatomical structure formation involved in morphogenesis","Vascular endothelial growth factor receptor 1",0.12076117276709761,0,10
"anatomical structure formation involved in morphogenesis","Vascular endothelial growth factor receptor 2",1.1138960258881765,5,10
"autophagy","AMP-activated protein kinase, alpha-1 subunit",0.010692395505420102,0,3
"autophagy","AMP-activated protein kinase, alpha-2 subunit",0.0072330910771959515,0,3
"autophagy","Tyrosine-protein kinase ABL",0.35316353389961097,4,3
"biosynthetic process","3-phosphoinositide dependent protein kinase-1",0.21416239232914966,1,14
"biosynthetic process","AMP-activated protein kinase, alpha-1 subunit",0.010692395505420102,0,14
"biosynthetic process","AMP-activated protein kinase, alpha-2 subunit",0.0072330910771959515,0,14
"biosynthetic process","Bone morphogenetic protein receptor type-2",0.00911998440168185,0,14
"biosynthetic process","Fibroblast growth factor receptor 1",0.19151967243531887,1,14
"biosynthetic process","Fibroblast growth factor receptor 2",0.08019296629065076,0,14
"biosynthetic process","Receptor protein-tyrosine kinase erbB-2",0.2528437054811106,5,14
"biosynthetic process","Receptor protein-tyrosine kinase erbB-4",0.022957202114578454,1,14
"biosynthetic process","Serine-protein kinase ATM",0.016353075478877804,0,14
"biosynthetic process","Serine/threonine-protein kinase AKT",0.5097756798319407,0,14
"biosynthetic process","Serine/threonine-protein kinase AKT2",0.18617347468260884,0,14
"biosynthetic process","Serine/threonine-protein kinase Chk1",0.2748574609334461,3,14
"biosynthetic process","Serine/threonine-protein kinase Chk2",0.028617882088036152,0,14
"biosynthetic process","Tyrosine-protein kinase BTK",0.2078727479141967,1,14
