"go_pref_name","target_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"DNA metabolic process","DNA-dependent protein kinase",0.08145089517364136,0,4
"DNA metabolic process","Serine-protein kinase ATM",0.016353075478877804,0,4
"DNA metabolic process","Serine-protein kinase ATR",0.032077186516260306,0,4
"DNA metabolic process","Serine/threonine-protein kinase Chk2",0.028617882088036152,0,4
"aging","Glycogen synthase kinase-3 beta",0.32454565181157485,2,6
"aging","Serine-protein kinase ATM",0.016353075478877804,0,6
"aging","Serine-protein kinase ATR",0.032077186516260306,0,6
"aging","Serine/threonine-protein kinase AKT",0.5097756798319407,0,6
"aging","Serine/threonine-protein kinase Chk2",0.028617882088036152,0,6
"aging","TGF-beta receptor type II",0.022957202114578454,0,6
"anatomical structure development","DNA-dependent protein kinase",0.08145089517364136,0,11
"anatomical structure development","Ephrin type-B receptor 2",0.010692395505420102,0,11
"anatomical structure development","Epidermal growth factor receptor erbB1",0.8535047471091222,9,11
"anatomical structure development","Epithelial discoidin domain-containing receptor 1",0.03899579537270861,0,11
"anatomical structure development","Glycogen synthase kinase-3 beta",0.32454565181157485,2,11
"anatomical structure development","MAP kinase ERK1",0.0295613287502791,1,11
"anatomical structure development","Serine-protein kinase ATM",0.016353075478877804,0,11
"anatomical structure development","Serine/threonine-protein kinase AKT",0.5097756798319407,0,11
"anatomical structure development","Serine/threonine-protein kinase B-raf",0.5082032687282025,3,11
"anatomical structure development","TGF-beta receptor type II",0.022957202114578454,0,11
"anatomical structure development","Tyrosine-protein kinase JAK2",0.7670221364035185,5,11
"anatomical structure formation involved in morphogenesis","DNA-dependent protein kinase",0.08145089517364136,0,7
"anatomical structure formation involved in morphogenesis","Ephrin type-B receptor 2",0.010692395505420102,0,7
"anatomical structure formation involved in morphogenesis","Glycogen synthase kinase-3 beta",0.32454565181157485,2,7
"anatomical structure formation involved in morphogenesis","MAP kinase ERK1",0.0295613287502791,1,7
"anatomical structure formation involved in morphogenesis","Serine-protein kinase ATM",0.016353075478877804,0,7
"anatomical structure formation involved in morphogenesis","TGF-beta receptor type II",0.022957202114578454,0,7
"anatomical structure formation involved in morphogenesis","cAMP-dependent protein kinase beta-1 catalytic subunit",0.0047172333112147505,0,7
"biosynthetic process","Bone morphogenetic protein receptor type-1B",0.011006877726167751,0,10
"biosynthetic process","Fibroblast growth factor receptor 4",0.0132082532714013,0,10
"biosynthetic process","Interferon-induced, double-stranded RNA-activated protein kinase",0.031448222074765005,0,10
"biosynthetic process","MAP kinase ERK1",0.0295613287502791,1,10
"biosynthetic process","Mitogen-activated protein kinase kinase kinase 7",0.03962475981420391,0,10
"biosynthetic process","Receptor protein-tyrosine kinase erbB-2",0.2528437054811106,5,10
"biosynthetic process","Serine-protein kinase ATM",0.016353075478877804,0,10
"biosynthetic process","Serine-protein kinase ATR",0.032077186516260306,0,10
"biosynthetic process","Serine/threonine-protein kinase AKT",0.5097756798319407,0,10
"biosynthetic process","Serine/threonine-protein kinase Chk2",0.028617882088036152,0,10
"carbohydrate metabolic process","Glycogen synthase kinase-3 beta",0.32454565181157485,2,2
"carbohydrate metabolic process","Serine/threonine-protein kinase AKT",0.5097756798319407,0,2
"catabolic process","Glycogen synthase kinase-3 beta",0.32454565181157485,2,5
"catabolic process","Serine-protein kinase ATM",0.016353075478877804,0,5
"catabolic process","Serine/threonine-protein kinase AKT",0.5097756798319407,0,5
"catabolic process","Serine/threonine-protein kinase Aurora-A",0.44247648459194366,6,5
"catabolic process","Serine/threonine-protein kinase Chk2",0.028617882088036152,0,5
"cell adhesion","DNA-dependent protein kinase",0.08145089517364136,0,5
"cell adhesion","Epidermal growth factor receptor erbB1",0.8535047471091222,9,5
"cell adhesion","Epithelial discoidin domain-containing receptor 1",0.03899579537270861,0,5
"cell adhesion","Serine/threonine-protein kinase B-raf",0.5082032687282025,3,5
"cell adhesion","Serine/threonine-protein kinase PAK6",0.006289644414953001,0,5
"cell cycle","DNA-dependent protein kinase",0.08145089517364136,0,7
"cell cycle","Glycogen synthase kinase-3 beta",0.32454565181157485,2,7
"cell cycle","MAP kinase ERK1",0.0295613287502791,1,7
"cell cycle","Serine-protein kinase ATM",0.016353075478877804,0,7
"cell cycle","Serine-protein kinase ATR",0.032077186516260306,0,7
"cell cycle","Serine/threonine-protein kinase Aurora-A",0.44247648459194366,6,7
"cell cycle","Serine/threonine-protein kinase Chk2",0.028617882088036152,0,7
"cell death","DNA-dependent protein kinase",0.08145089517364136,0,12
"cell death","Glycogen synthase kinase-3 beta",0.32454565181157485,2,12
"cell death","MAP kinase ERK1",0.0295613287502791,1,12
"cell death","Mitogen-activated protein kinase kinase kinase 1",0.0037737866489718002,0,12
"cell death","Mitogen-activated protein kinase kinase kinase 7",0.03962475981420391,0,12
"cell death","Receptor tyrosine-protein kinase erbB-3",0.0075475732979436005,1,12
"cell death","Serine-protein kinase ATM",0.016353075478877804,0,12
"cell death","Serine/threonine-protein kinase AKT",0.5097756798319407,0,12
"cell death","Serine/threonine-protein kinase Chk2",0.028617882088036152,0,12
"cell death","Serine/threonine-protein kinase PAK6",0.006289644414953001,0,12
"cell death","TGF-beta receptor type II",0.022957202114578454,0,12
"cell death","Tyrosine-protein kinase JAK2",0.7670221364035185,5,12
"cell differentiation","Bone morphogenetic protein receptor type-1B",0.011006877726167751,0,16
"cell differentiation","DNA-dependent protein kinase",0.08145089517364136,0,16
"cell differentiation","Ephrin type-B receptor 2",0.010692395505420102,0,16
"cell differentiation","Glycogen synthase kinase-3 beta",0.32454565181157485,2,16
"cell differentiation","Hepatocyte growth factor receptor",0.7899793385180969,14,16
"cell differentiation","MAP kinase ERK1",0.0295613287502791,1,16
"cell differentiation","Protein kinase C zeta",0.03364959761999855,0,16
"cell differentiation","Receptor protein-tyrosine kinase erbB-2",0.2528437054811106,5,16
"cell differentiation","Receptor tyrosine-protein kinase erbB-3",0.0075475732979436005,1,16
"cell differentiation","Serine-protein kinase ATM",0.016353075478877804,0,16
"cell differentiation","Serine/threonine-protein kinase AKT",0.5097756798319407,0,16
"cell differentiation","Serine/threonine-protein kinase Aurora-A",0.44247648459194366,6,16
"cell differentiation","Serine/threonine-protein kinase B-raf",0.5082032687282025,3,16
"cell differentiation","TGF-beta receptor type II",0.022957202114578454,0,16
"cell differentiation","Tyrosine-protein kinase JAK1",0.5022281065339971,4,16
"cell differentiation","Tyrosine-protein kinase JAK2",0.7670221364035185,5,16
"cell division","Serine/threonine-protein kinase Aurora-A",0.44247648459194366,6,2
"cell division","Serine/threonine-protein kinase Chk2",0.028617882088036152,0,2
"cell morphogenesis","Bone morphogenetic protein receptor type-1B",0.011006877726167751,0,9
"cell morphogenesis","Ephrin type-B receptor 2",0.010692395505420102,0,9
"cell morphogenesis","Epidermal growth factor receptor erbB1",0.8535047471091222,9,9
"cell morphogenesis","Glycogen synthase kinase-3 beta",0.32454565181157485,2,9
"cell morphogenesis","Hepatocyte growth factor receptor",0.7899793385180969,14,9
"cell morphogenesis","MAP kinase ERK1",0.0295613287502791,1,9
"cell morphogenesis","Protein kinase C zeta",0.03364959761999855,0,9
"cell morphogenesis","Receptor protein-tyrosine kinase erbB-2",0.2528437054811106,5,9
"cell morphogenesis","Serine/threonine-protein kinase Aurora-A",0.44247648459194366,6,9
"cell motility","Epidermal growth factor receptor erbB1",0.8535047471091222,9,8
"cell motility","Epithelial discoidin domain-containing receptor 1",0.03899579537270861,0,8
"cell motility","Fibroblast growth factor receptor 4",0.0132082532714013,0,8
"cell motility","Glycogen synthase kinase-3 beta",0.32454565181157485,2,8
"cell motility","Interleukin-1 receptor-associated kinase 4",0.08805502180934201,0,8
"cell motility","Protein kinase C zeta",0.03364959761999855,0,8
"cell motility","Tyrosine-protein kinase JAK1",0.5022281065339971,4,8
"cell motility","Tyrosine-protein kinase JAK2",0.7670221364035185,5,8
"cell proliferation","DNA-dependent protein kinase",0.08145089517364136,0,5
"cell proliferation","Epidermal growth factor receptor erbB1",0.8535047471091222,9,5
"cell proliferation","Hepatocyte growth factor receptor",0.7899793385180969,14,5
"cell proliferation","Receptor protein-tyrosine kinase erbB-2",0.2528437054811106,5,5
"cell proliferation","Serine/threonine-protein kinase AKT",0.5097756798319407,0,5
"cell-cell signaling","Glycogen synthase kinase-3 beta",0.32454565181157485,2,3
"cell-cell signaling","Mitogen-activated protein kinase kinase kinase 7",0.03962475981420391,0,3
"cell-cell signaling","Serine/threonine-protein kinase AKT",0.5097756798319407,0,3
"cellular nitrogen compound metabolic process","Glycogen synthase kinase-3 beta",0.32454565181157485,2,7
