"protein_class_pref_name","protein_class_short_name","go_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"AGC protein kinase AKT family","Akt","aging",0.015409628816634853,0,4
"AGC protein kinase AKT family","Akt","anatomical structure development",0.015409628816634853,0,11
"AGC protein kinase AKT family","Akt","biosynthetic process",0.015409628816634853,0,6
"AGC protein kinase AKT family","Akt","carbohydrate metabolic process",0.015409628816634853,0,3
"AGC protein kinase AKT family","Akt","catabolic process",0.015409628816634853,0,3
"AGC protein kinase AKT family","Akt","cell death",0.015409628816634853,0,11
"AGC protein kinase AKT family","Akt","cell differentiation",0.015409628816634853,0,20
"AGC protein kinase AKT family","Akt","cell proliferation",0.015409628816634853,0,7
"AGC protein kinase AKT family","Akt","cell-cell signaling",0.015409628816634853,0,8
"AGC protein kinase AKT family","Akt","cellular nitrogen compound metabolic process",0.015409628816634853,0,4
"AGC protein kinase AKT family","Akt","cellular protein modification process",0.015409628816634853,0,28
"AGC protein kinase AKT family","Akt","circulatory system process",0.015409628816634853,0,2
"AGC protein kinase AKT family","Akt","embryo development",0.015409628816634853,0,7
"AGC protein kinase AKT family","Akt","female pregnancy",0.015409628816634853,0,2
"AGC protein kinase AKT family","Akt","generation of precursor metabolites and energy",0.015409628816634853,0,2
"AGC protein kinase AKT family","Akt","homeostatic process",0.015409628816634853,0,5
"AGC protein kinase AKT family","Akt","immune system process",0.015409628816634853,0,17
"AGC protein kinase AKT family","Akt","metabolic process",0.015409628816634853,0,2
"AGC protein kinase AKT family","Akt","mitochondrion organization",0.015409628816634853,0,3
"AGC protein kinase AKT family","Akt","multicellular organismal development",0.015409628816634853,0,21
"AGC protein kinase AKT family","Akt","negative regulation of endopeptidase activity",0.015409628816634853,0,4
"AGC protein kinase AKT family","Akt","nucleocytoplasmic transport",0.015409628816634853,0,2
"AGC protein kinase AKT family","Akt","phosphorylation",0.015409628816634853,0,28
"AGC protein kinase AKT family","Akt","plasma membrane organization",0.015409628816634853,0,2
"AGC protein kinase AKT family","Akt","positive regulation of apoptotic process",0.015409628816634853,0,4
"AGC protein kinase AKT family","Akt","positive regulation of catalytic activity",0.015409628816634853,0,15
"AGC protein kinase AKT family","Akt","protein targeting",0.015409628816634853,0,2
"AGC protein kinase AKT family","Akt","regulation of catalytic activity",0.015409628816634853,0,3
"AGC protein kinase AKT family","Akt","regulation of protein localization",0.015409628816634853,0,4
"AGC protein kinase AKT family","Akt","reproduction",0.015409628816634853,0,9
"AGC protein kinase AKT family","Akt","response to stress",0.015409628816634853,0,16
"AGC protein kinase AKT family","Akt","signal transduction",0.015409628816634853,0,24
"AGC protein kinase AKT family","Akt","small molecule metabolic process",0.015409628816634853,0,1
"AGC protein kinase AKT family","Akt","translation",0.015409628816634853,0,1
"AGC protein kinase AKT family","Akt","transport",0.015409628816634853,0,4
"AGC protein kinase PKC alpha subfamily","Alpha","cell-cell signaling",0.0257875421013073,0,8
"AGC protein kinase PKC alpha subfamily","Alpha","cellular protein modification process",0.0257875421013073,0,28
"AGC protein kinase PKC alpha subfamily","Alpha","multicellular organismal development",0.0257875421013073,0,21
"AGC protein kinase PKC alpha subfamily","Alpha","neurological system process",0.0257875421013073,0,4
"AGC protein kinase PKC alpha subfamily","Alpha","phosphorylation",0.0257875421013073,0,28
"AGC protein kinase PKC alpha subfamily","Alpha","response to stress",0.0257875421013073,0,16
"AGC protein kinase PKC alpha subfamily","Alpha","signal transduction",0.0257875421013073,0,24
"CAMK protein kinase CAMK2 family","Camk2","cell cycle",0.00283033998672885,0,6
"CAMK protein kinase CAMK2 family","Camk2","cell death",0.00283033998672885,0,11
"CAMK protein kinase CAMK2 family","Camk2","cell differentiation",0.00283033998672885,0,20
"CAMK protein kinase CAMK2 family","Camk2","cell morphogenesis",0.00283033998672885,0,8
"CAMK protein kinase CAMK2 family","Camk2","cell-cell signaling",0.00283033998672885,0,8
"CAMK protein kinase CAMK2 family","Camk2","cellular protein modification process",0.00283033998672885,0,28
"CAMK protein kinase CAMK2 family","Camk2","immune system process",0.00283033998672885,0,17
"CAMK protein kinase CAMK2 family","Camk2","membrane organization",0.00283033998672885,0,1
"CAMK protein kinase CAMK2 family","Camk2","mitochondrion organization",0.00283033998672885,0,3
"CAMK protein kinase CAMK2 family","Camk2","multicellular organismal development",0.00283033998672885,0,21
"CAMK protein kinase CAMK2 family","Camk2","phosphorylation",0.00283033998672885,0,28
"CAMK protein kinase CAMK2 family","Camk2","positive regulation of apoptotic process",0.00283033998672885,0,4
"CAMK protein kinase CAMK2 family","Camk2","positive regulation of catalytic activity",0.00283033998672885,0,15
"CAMK protein kinase CAMK2 family","Camk2","protein complex assembly",0.00283033998672885,0,4
"CAMK protein kinase CAMK2 family","Camk2","response to stress",0.00283033998672885,0,16
"CAMK protein kinase CAMK2 family","Camk2","signal transduction",0.00283033998672885,0,24
"CAMK protein kinase CAMK2 family","Camk2","transport",0.00283033998672885,0,4
"CAMK protein kinase PHk family","Phk","biosynthetic process",0.0022013755452335504,0,6
"CAMK protein kinase PHk family","Phk","carbohydrate metabolic process",0.0022013755452335504,0,3
"CAMK protein kinase PHk family","Phk","catabolic process",0.0022013755452335504,0,3
"CAMK protein kinase PHk family","Phk","cellular protein modification process",0.0022013755452335504,0,28
"CAMK protein kinase PHk family","Phk","generation of precursor metabolites and energy",0.0022013755452335504,0,2
"CAMK protein kinase PHk family","Phk","phosphorylation",0.0022013755452335504,0,28
"CAMK protein kinase RSKb subfamily","Rskb","cell cycle",0.0015724111037382503,0,6
"CAMK protein kinase RSKb subfamily","Rskb","cell death",0.0015724111037382503,0,11
"CAMK protein kinase RSKb subfamily","Rskb","cellular protein modification process",0.0015724111037382503,0,28
"CAMK protein kinase RSKb subfamily","Rskb","immune system process",0.0015724111037382503,0,17
"CAMK protein kinase RSKb subfamily","Rskb","multicellular organismal development",0.0015724111037382503,0,21
"CAMK protein kinase RSKb subfamily","Rskb","negative regulation of endopeptidase activity",0.0015724111037382503,0,4
"CAMK protein kinase RSKb subfamily","Rskb","phosphorylation",0.0015724111037382503,0,28
"CAMK protein kinase RSKb subfamily","Rskb","response to stress",0.0015724111037382503,0,16
"CAMK protein kinase RSKb subfamily","Rskb","signal transduction",0.0015724111037382503,0,24
"CK1 protein kinase CK1 family","Ck1","cell-cell signaling",6.289644414953E-4,0,8
"CK1 protein kinase CK1 family","Ck1","cellular protein modification process",6.289644414953E-4,0,28
"CK1 protein kinase CK1 family","Ck1","phosphorylation",6.289644414953E-4,0,28
"CK1 protein kinase CK1 family","Ck1","signal transduction",6.289644414953E-4,0,24
"CK1 protein kinase CK1 family","Ck1","vesicle-mediated transport",6.289644414953E-4,0,5
"CMGC protein kinase Dyrk1 subfamily","Dyrk1","cellular protein modification process",9.434466622429501E-4,0,28
"CMGC protein kinase Dyrk1 subfamily","Dyrk1","multicellular organismal development",9.434466622429501E-4,0,21
"CMGC protein kinase Dyrk1 subfamily","Dyrk1","phosphorylation",9.434466622429501E-4,0,28
"CMGC protein kinase JNK subfamily","Jnk","cellular protein modification process",0.008176537739438902,0,28
"CMGC protein kinase JNK subfamily","Jnk","phosphorylation",0.008176537739438902,0,28
"CMGC protein kinase JNK subfamily","Jnk","positive regulation of catalytic activity",0.008176537739438902,0,15
"CMGC protein kinase JNK subfamily","Jnk","response to stress",0.008176537739438902,0,16
"CMGC protein kinase JNK subfamily","Jnk","signal transduction",0.008176537739438902,0,24
"CMGC protein kinase TAIRE subfamily","Taire","cell differentiation",0.0025158577659812,0,20
"CMGC protein kinase TAIRE subfamily","Taire","cell-cell signaling",0.0025158577659812,0,8
"CMGC protein kinase TAIRE subfamily","Taire","cellular protein modification process",0.0025158577659812,0,28
"CMGC protein kinase TAIRE subfamily","Taire","multicellular organismal development",0.0025158577659812,0,21
"CMGC protein kinase TAIRE subfamily","Taire","phosphorylation",0.0025158577659812,0,28
"CMGC protein kinase TAIRE subfamily","Taire","regulation of protein localization",0.0025158577659812,0,4
"CMGC protein kinase TAIRE subfamily","Taire","reproduction",0.0025158577659812,0,9
"CMGC protein kinase TAIRE subfamily","Taire","transport",0.0025158577659812,0,4
"CMGC protein kinase TAIRE subfamily","Taire","vesicle-mediated transport",0.0025158577659812,0,5
"Other protein kinase CK2 family","Ck2","biosynthetic process",3.1448222074765E-4,0,6
"Other protein kinase CK2 family","Ck2","cell cycle",3.1448222074765E-4,0,6
"Other protein kinase CK2 family","Ck2","cell death",3.1448222074765E-4,0,11
"Other protein kinase CK2 family","Ck2","cellular nitrogen compound metabolic process",3.1448222074765E-4,0,4
"Other protein kinase CK2 family","Ck2","cellular protein modification process",3.1448222074765E-4,0,28
"Other protein kinase CK2 family","Ck2","negative regulation of endopeptidase activity",3.1448222074765E-4,0,4
"Other protein kinase CK2 family","Ck2","phosphorylation",3.1448222074765E-4,0,28
"Other protein kinase CK2 family","Ck2","protein folding",3.1448222074765E-4,0,1
"Other protein kinase CK2 family","Ck2","signal transduction",3.1448222074765E-4,0,24
"Other protein kinase PLK family","Plk","cell cycle",0.0025158577659812,0,6
"Other protein kinase PLK family","Plk","cell differentiation",0.0025158577659812,0,20
"Other protein kinase PLK family","Plk","cellular component assembly",0.0025158577659812,0,3
"Other protein kinase PLK family","Plk","cellular protein modification process",0.0025158577659812,0,28
"Other protein kinase PLK family","Plk","cytoskeleton organization",0.0025158577659812,0,5
"Other protein kinase PLK family","Plk","embryo development",0.0025158577659812,0,7
"Other protein kinase PLK family","Plk","microtubule-based process",0.0025158577659812,0,2
"Other protein kinase PLK family","Plk","phosphorylation",0.0025158577659812,0,28
"Other protein kinase PLK family","Plk","reproduction",0.0025158577659812,0,9
"Other protein kinase group","Other","anatomical structure development",0.0072330910771959515,0,11
"Other protein kinase group","Other","cell differentiation",0.0072330910771959515,0,20
"Other protein kinase group","Other","cellular protein modification process",0.0072330910771959515,0,28
"Other protein kinase group","Other","immune system process",0.0072330910771959515,0,17
"Other protein kinase group","Other","phosphorylation",0.0072330910771959515,0,28
"Other protein kinase group","Other","response to stress",0.0072330910771959515,0,16
"Other protein kinase group","Other","response to toxic substance",0.0072330910771959515,0,2
"Other protein kinase group","Other","signal transduction",0.0072330910771959515,0,24
"STE protein kinase MSN subfamily","Msn","autophagy",0.00283033998672885,0,2
"STE protein kinase MSN subfamily","Msn","cell differentiation",0.00283033998672885,0,20
"STE protein kinase MSN subfamily","Msn","cellular component assembly",0.00283033998672885,0,3
"STE protein kinase MSN subfamily","Msn","cellular protein modification process",0.00283033998672885,0,28
"STE protein kinase MSN subfamily","Msn","cytoskeleton organization",0.00283033998672885,0,5
"STE protein kinase MSN subfamily","Msn","multicellular organismal development",0.00283033998672885,0,21
"STE protein kinase MSN subfamily","Msn","phosphorylation",0.00283033998672885,0,28
"STE protein kinase MSN subfamily","Msn","plasma membrane organization",0.00283033998672885,0,2
"STE protein kinase MSN subfamily","Msn","positive regulation of catalytic activity",0.00283033998672885,0,15
"STE protein kinase MSN subfamily","Msn","response to stress",0.00283033998672885,0,16
"STE protein kinase MSN subfamily","Msn","signal transduction",0.00283033998672885,0,24
"STE protein kinase PAKA subfamily","Paka","cell differentiation",3.1448222074765E-4,0,20
"STE protein kinase PAKA subfamily","Paka","cell morphogenesis",3.1448222074765E-4,0,8
"STE protein kinase PAKA subfamily","Paka","cellular protein modification process",3.1448222074765E-4,0,28
"STE protein kinase PAKA subfamily","Paka","immune system process",3.1448222074765E-4,0,17
"STE protein kinase PAKA subfamily","Paka","metabolic process",3.1448222074765E-4,0,2
"STE protein kinase PAKA subfamily","Paka","multicellular organismal development",3.1448222074765E-4,0,21
"STE protein kinase PAKA subfamily","Paka","phosphorylation",3.1448222074765E-4,0,28
"STE protein kinase PAKA subfamily","Paka","positive regulation of apoptotic process",3.1448222074765E-4,0,4
"STE protein kinase PAKA subfamily","Paka","positive regulation of catalytic activity",3.1448222074765E-4,0,15
"STE protein kinase PAKA subfamily","Paka","signal transduction",3.1448222074765E-4,0,24
"STE protein kinase STE7 family","Ste7","aging",0.0072330910771959515,0,4
"STE protein kinase STE7 family","Ste7","anatomical structure development",0.0072330910771959515,0,11
"STE protein kinase STE7 family","Ste7","anatomical structure formation involved in morphogenesis",0.0072330910771959515,0,7
"STE protein kinase STE7 family","Ste7","autophagy",0.0072330910771959515,0,2
"STE protein kinase STE7 family","Ste7","catabolic process",0.0072330910771959515,0,3
"STE protein kinase STE7 family","Ste7","cell cycle",0.0072330910771959515,0,6
"STE protein kinase STE7 family","Ste7","cell differentiation",0.0072330910771959515,0,20
"STE protein kinase STE7 family","Ste7","cell motility",0.0072330910771959515,0,6
"STE protein kinase STE7 family","Ste7","cell proliferation",0.0072330910771959515,0,7
"STE protein kinase STE7 family","Ste7","cellular protein modification process",0.0072330910771959515,0,28
"STE protein kinase STE7 family","Ste7","embryo development",0.0072330910771959515,0,7
"STE protein kinase STE7 family","Ste7","immune system process",0.0072330910771959515,0,17
"STE protein kinase STE7 family","Ste7","locomotion",0.0072330910771959515,0,4
"STE protein kinase STE7 family","Ste7","mitochondrion organization",0.0072330910771959515,0,3
"STE protein kinase STE7 family","Ste7","multicellular organismal development",0.0072330910771959515,0,21
"STE protein kinase STE7 family","Ste7","phosphorylation",0.0072330910771959515,0,28
"STE protein kinase STE7 family","Ste7","positive regulation of catalytic activity",0.0072330910771959515,0,15
"STE protein kinase STE7 family","Ste7","proteolysis",0.0072330910771959515,0,1
"STE protein kinase STE7 family","Ste7","reproduction",0.0072330910771959515,0,9
"STE protein kinase STE7 family","Ste7","response to stress",0.0072330910771959515,0,16
"STE protein kinase STE7 family","Ste7","signal transduction",0.0072330910771959515,0,24
"TKL protein kinase LIMK subfamily","Limk","cell differentiation",6.289644414953E-4,0,20
"TKL protein kinase LIMK subfamily","Limk","cellular protein modification process",6.289644414953E-4,0,28
"TKL protein kinase LIMK subfamily","Limk","cytoskeleton organization",6.289644414953E-4,0,5
"TKL protein kinase LIMK subfamily","Limk","immune system process",6.289644414953E-4,0,17
"TKL protein kinase LIMK subfamily","Limk","multicellular organismal development",6.289644414953E-4,0,21
"TKL protein kinase LIMK subfamily","Limk","phosphorylation",6.289644414953E-4,0,28
"TKL protein kinase LIMK subfamily","Limk","regulation of catalytic activity",6.289644414953E-4,0,3
"TKL protein kinase LIMK subfamily","Limk","signal transduction",6.289644414953E-4,0,24
"TKL protein kinase LIMK subfamily","Limk","vesicle-mediated transport",6.289644414953E-4,0,5
"TKL protein kinase RAF family","Raf","anatomical structure development",0.00345930442822415,0,11
"TKL protein kinase RAF family","Raf","cell death",0.00345930442822415,0,11
"TKL protein kinase RAF family","Raf","cell differentiation",0.00345930442822415,0,20
"TKL protein kinase RAF family","Raf","cell proliferation",0.00345930442822415,0,7
"TKL protein kinase RAF family","Raf","cell-cell signaling",0.00345930442822415,0,8
"TKL protein kinase RAF family","Raf","cellular protein modification process",0.00345930442822415,0,28
"TKL protein kinase RAF family","Raf","cytoskeleton organization",0.00345930442822415,0,5
"TKL protein kinase RAF family","Raf","homeostatic process",0.00345930442822415,0,5
"TKL protein kinase RAF family","Raf","immune system process",0.00345930442822415,0,17
"TKL protein kinase RAF family","Raf","multicellular organismal development",0.00345930442822415,0,21
"TKL protein kinase RAF family","Raf","negative regulation of endopeptidase activity",0.00345930442822415,0,4
"TKL protein kinase RAF family","Raf","phosphorylation",0.00345930442822415,0,28
"TKL protein kinase RAF family","Raf","positive regulation of catalytic activity",0.00345930442822415,0,15
"TKL protein kinase RAF family","Raf","protein complex assembly",0.00345930442822415,0,4
"TKL protein kinase RAF family","Raf","response to stress",0.00345930442822415,0,16
"TKL protein kinase RAF family","Raf","signal transduction",0.00345930442822415,0,24
"TKL protein kinase RAF family","Raf","transmembrane transport",0.00345930442822415,0,1
"TKL protein kinase RAF family","Raf","transport",0.00345930442822415,0,4
"TKL protein kinase STKR Type 1 subfamily","Type1","anatomical structure development",0.0056606799734577,0,11
"TKL protein kinase STKR Type 1 subfamily","Type1","anatomical structure formation involved in morphogenesis",0.0056606799734577,0,7
"TKL protein kinase STKR Type 1 subfamily","Type1","cell cycle",0.0056606799734577,0,6
"TKL protein kinase STKR Type 1 subfamily","Type1","cell death",0.0056606799734577,0,11
"TKL protein kinase STKR Type 1 subfamily","Type1","cell differentiation",0.0056606799734577,0,20
"TKL protein kinase STKR Type 1 subfamily","Type1","cell morphogenesis",0.0056606799734577,0,8
"TKL protein kinase STKR Type 1 subfamily","Type1","cell motility",0.0056606799734577,0,6
"TKL protein kinase STKR Type 1 subfamily","Type1","cellular protein modification process",0.0056606799734577,0,28
"TKL protein kinase STKR Type 1 subfamily","Type1","embryo development",0.0056606799734577,0,7
"TKL protein kinase STKR Type 1 subfamily","Type1","extracellular matrix organization",0.0056606799734577,0,1
"TKL protein kinase STKR Type 1 subfamily","Type1","immune system process",0.0056606799734577,0,17
"TKL protein kinase STKR Type 1 subfamily","Type1","multicellular organismal development",0.0056606799734577,0,21
"TKL protein kinase STKR Type 1 subfamily","Type1","phosphorylation",0.0056606799734577,0,28
"TKL protein kinase STKR Type 1 subfamily","Type1","positive regulation of apoptotic process",0.0056606799734577,0,4
"TKL protein kinase STKR Type 1 subfamily","Type1","positive regulation of catalytic activity",0.0056606799734577,0,15
"TKL protein kinase STKR Type 1 subfamily","Type1","regulation of protein localization",0.0056606799734577,0,4
"TKL protein kinase STKR Type 1 subfamily","Type1","reproduction",0.0056606799734577,0,9
"TKL protein kinase STKR Type 1 subfamily","Type1","response to stress",0.0056606799734577,0,16
"TKL protein kinase STKR Type 1 subfamily","Type1","signal transduction",0.0056606799734577,0,24
"TKL protein kinase STKR Type 2 subfamily","Type2","aging",9.434466622429501E-4,0,4
"TKL protein kinase STKR Type 2 subfamily","Type2","anatomical structure development",9.434466622429501E-4,0,11
"TKL protein kinase STKR Type 2 subfamily","Type2","anatomical structure formation involved in morphogenesis",9.434466622429501E-4,0,7
"TKL protein kinase STKR Type 2 subfamily","Type2","cell death",9.434466622429501E-4,0,11
"TKL protein kinase STKR Type 2 subfamily","Type2","cell differentiation",9.434466622429501E-4,0,20
