"go_pref_name","target_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"aging","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,4
"aging","Nerve growth factor receptor Trk-A",0.005346197752710051,0,4
"aging","Serine/threonine-protein kinase AKT",0.01289377105065365,0,4
"aging","TGF-beta receptor type II",9.434466622429501E-4,0,4
"anatomical structure development","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,12
"anatomical structure development","Fibroblast growth factor receptor 1",0.0283033998672885,0,12
"anatomical structure development","Fibroblast growth factor receptor 2",0.0015724111037382503,0,12
"anatomical structure development","Inhibitor of nuclear factor kappa B kinase alpha subunit",0.0072330910771959515,0,12
"anatomical structure development","Insulin receptor",0.004402751090467101,0,12
"anatomical structure development","Nerve growth factor receptor Trk-A",0.005346197752710051,0,12
"anatomical structure development","Serine/threonine-protein kinase AKT",0.01289377105065365,0,12
"anatomical structure development","Serine/threonine-protein kinase RAF",0.00345930442822415,0,12
"anatomical structure development","Stem cell growth factor receptor",0.0226427198938308,4,12
"anatomical structure development","TGF-beta receptor type I",0.0056606799734577,0,12
"anatomical structure development","TGF-beta receptor type II",9.434466622429501E-4,0,12
"anatomical structure development","Tyrosine-protein kinase BTK",9.434466622429501E-4,0,12
"anatomical structure formation involved in morphogenesis","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,8
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",0.0283033998672885,0,8
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 2",0.0015724111037382503,0,8
"anatomical structure formation involved in morphogenesis","Platelet-derived growth factor receptor beta",0.039310277593456254,2,8
"anatomical structure formation involved in morphogenesis","TGF-beta receptor type I",0.0056606799734577,0,8
"anatomical structure formation involved in morphogenesis","TGF-beta receptor type II",9.434466622429501E-4,0,8
"anatomical structure formation involved in morphogenesis","Tyrosine-protein kinase TIE-2",0.028617882088036152,1,8
"anatomical structure formation involved in morphogenesis","Vascular endothelial growth factor receptor 3",0.00283033998672885,0,8
"autophagy","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,2
"autophagy","TRAF2- and NCK-interacting kinase",0.00283033998672885,0,2
"biosynthetic process","Casein kinase II alpha",3.1448222074765E-4,0,9
"biosynthetic process","Fibroblast growth factor receptor 1",0.0283033998672885,0,9
"biosynthetic process","Fibroblast growth factor receptor 2",0.0015724111037382503,0,9
"biosynthetic process","Fibroblast growth factor receptor 3",0.0018868933244859001,0,9
"biosynthetic process","NF-kappa-B essential modulator",,,9
"biosynthetic process","Phosphorylase kinase gamma subunit 2",0.0022013755452335504,0,9
"biosynthetic process","Platelet-derived growth factor receptor beta",0.039310277593456254,2,9
"biosynthetic process","Serine/threonine-protein kinase AKT",0.01289377105065365,0,9
"biosynthetic process","Tyrosine-protein kinase BTK",9.434466622429501E-4,0,9
"carbohydrate metabolic process","Insulin receptor",0.004402751090467101,0,3
"carbohydrate metabolic process","Phosphorylase kinase gamma subunit 2",0.0022013755452335504,0,3
"carbohydrate metabolic process","Serine/threonine-protein kinase AKT",0.01289377105065365,0,3
"catabolic process","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,3
"catabolic process","Phosphorylase kinase gamma subunit 2",0.0022013755452335504,0,3
"catabolic process","Serine/threonine-protein kinase AKT",0.01289377105065365,0,3
"cell adhesion","Stem cell growth factor receptor",0.0226427198938308,4,2
"cell adhesion","Tyrosine-protein kinase TIE-2",0.028617882088036152,1,2
"cell cycle","CaM kinase II alpha",0.0012579288829906,0,7
"cell cycle","CaM kinase II gamma",6.289644414953E-4,0,7
"cell cycle","Casein kinase II alpha",3.1448222074765E-4,0,7
"cell cycle","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,7
"cell cycle","Ribosomal protein S6 kinase alpha 3",0.0015724111037382503,0,7
"cell cycle","Serine/threonine-protein kinase PLK4",0.0025158577659812,0,7
