"protein_class_pref_name","protein_class_short_name","go_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"AGC protein kinase AKT family","Akt","aging",0.018868933244859002,0,3
"AGC protein kinase AKT family","Akt","anatomical structure development",0.018868933244859002,0,8
"AGC protein kinase AKT family","Akt","biosynthetic process",0.018868933244859002,0,8
"AGC protein kinase AKT family","Akt","carbohydrate metabolic process",0.018868933244859002,0,2
"AGC protein kinase AKT family","Akt","catabolic process",0.018868933244859002,0,3
"AGC protein kinase AKT family","Akt","cell death",0.018868933244859002,0,11
"AGC protein kinase AKT family","Akt","cell differentiation",0.018868933244859002,0,14
"AGC protein kinase AKT family","Akt","cell proliferation",0.018868933244859002,0,9
"AGC protein kinase AKT family","Akt","cell-cell signaling",0.018868933244859002,0,4
"AGC protein kinase AKT family","Akt","cellular nitrogen compound metabolic process",0.018868933244859002,0,8
"AGC protein kinase AKT family","Akt","cellular protein modification process",0.018868933244859002,0,22
"AGC protein kinase AKT family","Akt","circulatory system process",0.018868933244859002,0,3
"AGC protein kinase AKT family","Akt","embryo development",0.018868933244859002,0,5
"AGC protein kinase AKT family","Akt","female pregnancy",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","generation of precursor metabolites and energy",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","homeostatic process",0.018868933244859002,0,6
"AGC protein kinase AKT family","Akt","immune system process",0.018868933244859002,0,14
"AGC protein kinase AKT family","Akt","metabolic process",0.018868933244859002,0,3
"AGC protein kinase AKT family","Akt","mitochondrion organization",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","multicellular organismal development",0.018868933244859002,0,16
"AGC protein kinase AKT family","Akt","negative regulation of endopeptidase activity",0.018868933244859002,0,4
"AGC protein kinase AKT family","Akt","nucleocytoplasmic transport",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","phosphorylation",0.018868933244859002,0,22
"AGC protein kinase AKT family","Akt","plasma membrane organization",0.018868933244859002,0,2
"AGC protein kinase AKT family","Akt","positive regulation of apoptotic process",0.018868933244859002,0,4
"AGC protein kinase AKT family","Akt","positive regulation of catalytic activity",0.018868933244859002,0,13
"AGC protein kinase AKT family","Akt","protein targeting",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","regulation of catalytic activity",0.018868933244859002,0,7
"AGC protein kinase AKT family","Akt","regulation of protein localization",0.018868933244859002,0,6
"AGC protein kinase AKT family","Akt","reproduction",0.018868933244859002,0,6
"AGC protein kinase AKT family","Akt","response to stress",0.018868933244859002,0,18
"AGC protein kinase AKT family","Akt","signal transduction",0.018868933244859002,0,21
"AGC protein kinase AKT family","Akt","small molecule metabolic process",0.018868933244859002,0,2
"AGC protein kinase AKT family","Akt","translation",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","transmembrane transport",0.018868933244859002,0,2
"AGC protein kinase AKT family","Akt","transport",0.018868933244859002,0,2
"AGC protein kinase PDK1 subfamily","Pdk1","biosynthetic process",3.1448222074765E-4,0,8
"AGC protein kinase PDK1 subfamily","Pdk1","cell adhesion",3.1448222074765E-4,0,8
"AGC protein kinase PDK1 subfamily","Pdk1","cell death",3.1448222074765E-4,0,11
"AGC protein kinase PDK1 subfamily","Pdk1","cell differentiation",3.1448222074765E-4,0,14
"AGC protein kinase PDK1 subfamily","Pdk1","cell junction organization",3.1448222074765E-4,0,3
"AGC protein kinase PDK1 subfamily","Pdk1","cell motility",3.1448222074765E-4,0,8
"AGC protein kinase PDK1 subfamily","Pdk1","cellular component assembly",3.1448222074765E-4,0,5
"AGC protein kinase PDK1 subfamily","Pdk1","cellular nitrogen compound metabolic process",3.1448222074765E-4,0,8
