"protein_class_pref_name","protein_class_short_name","go_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"AGC protein kinase AKT family","Akt","aging",0.018868933244859002,0,3
"AGC protein kinase AKT family","Akt","anatomical structure development",0.018868933244859002,0,7
"AGC protein kinase AKT family","Akt","biosynthetic process",0.018868933244859002,0,4
"AGC protein kinase AKT family","Akt","carbohydrate metabolic process",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","catabolic process",0.018868933244859002,0,4
"AGC protein kinase AKT family","Akt","cell death",0.018868933244859002,0,4
"AGC protein kinase AKT family","Akt","cell differentiation",0.018868933244859002,0,10
"AGC protein kinase AKT family","Akt","cell proliferation",0.018868933244859002,0,7
"AGC protein kinase AKT family","Akt","cell-cell signaling",0.018868933244859002,0,2
"AGC protein kinase AKT family","Akt","cellular nitrogen compound metabolic process",0.018868933244859002,0,4
"AGC protein kinase AKT family","Akt","cellular protein modification process",0.018868933244859002,0,11
"AGC protein kinase AKT family","Akt","circulatory system process",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","embryo development",0.018868933244859002,0,7
"AGC protein kinase AKT family","Akt","female pregnancy",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","generation of precursor metabolites and energy",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","homeostatic process",0.018868933244859002,0,2
"AGC protein kinase AKT family","Akt","immune system process",0.018868933244859002,0,6
"AGC protein kinase AKT family","Akt","metabolic process",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","mitochondrion organization",0.018868933244859002,0,2
"AGC protein kinase AKT family","Akt","multicellular organismal development",0.018868933244859002,0,10
"AGC protein kinase AKT family","Akt","negative regulation of endopeptidase activity",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","nucleocytoplasmic transport",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","phosphorylation",0.018868933244859002,0,11
"AGC protein kinase AKT family","Akt","plasma membrane organization",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","positive regulation of apoptotic process",0.018868933244859002,0,3
"AGC protein kinase AKT family","Akt","positive regulation of catalytic activity",0.018868933244859002,0,6
"AGC protein kinase AKT family","Akt","protein targeting",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","regulation of catalytic activity",0.018868933244859002,0,4
"AGC protein kinase AKT family","Akt","regulation of protein localization",0.018868933244859002,0,4
"AGC protein kinase AKT family","Akt","reproduction",0.018868933244859002,0,5
"AGC protein kinase AKT family","Akt","response to stress",0.018868933244859002,0,8
"AGC protein kinase AKT family","Akt","signal transduction",0.018868933244859002,0,11
"AGC protein kinase AKT family","Akt","small molecule metabolic process",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","translation",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","transmembrane transport",0.018868933244859002,0,1
"AGC protein kinase AKT family","Akt","transport",0.018868933244859002,0,1
"CAMK protein kinase RAD53 family","Rad53","DNA metabolic process",0.015095146595887201,0,1
"CAMK protein kinase RAD53 family","Rad53","aging",0.015095146595887201,0,3
"CAMK protein kinase RAD53 family","Rad53","biosynthetic process",0.015095146595887201,0,4
"CAMK protein kinase RAD53 family","Rad53","catabolic process",0.015095146595887201,0,4
"CAMK protein kinase RAD53 family","Rad53","cell cycle",0.015095146595887201,0,4
"CAMK protein kinase RAD53 family","Rad53","cell death",0.015095146595887201,0,4
"CAMK protein kinase RAD53 family","Rad53","cell division",0.015095146595887201,0,5
"CAMK protein kinase RAD53 family","Rad53","cellular nitrogen compound metabolic process",0.015095146595887201,0,4
"CAMK protein kinase RAD53 family","Rad53","cellular protein modification process",0.015095146595887201,0,11
"CAMK protein kinase RAD53 family","Rad53","cellular response to drug",0.015095146595887201,0,1
"CAMK protein kinase RAD53 family","Rad53","cytoskeleton organization",0.015095146595887201,0,3
"CAMK protein kinase RAD53 family","Rad53","microtubule-based process",0.015095146595887201,0,2
"CAMK protein kinase RAD53 family","Rad53","mitotic nuclear division",0.015095146595887201,0,2
"CAMK protein kinase RAD53 family","Rad53","phosphorylation",0.015095146595887201,0,11
"CAMK protein kinase RAD53 family","Rad53","positive regulation of apoptotic process",0.015095146595887201,0,3
"CAMK protein kinase RAD53 family","Rad53","protein complex assembly",0.015095146595887201,0,2
"CAMK protein kinase RAD53 family","Rad53","protein stabilization",0.015095146595887201,0,1
"CAMK protein kinase RAD53 family","Rad53","response to stress",0.015095146595887201,0,8
"CAMK protein kinase RAD53 family","Rad53","signal transduction",0.015095146595887201,0,11
"CMGC protein kinase group","Cmgc","cell adhesion",0.014466182154391903,1,4
"CMGC protein kinase group","Cmgc","cell cycle",0.014466182154391903,1,4
"CMGC protein kinase group","Cmgc","cell differentiation",0.014466182154391903,1,10
"CMGC protein kinase group","Cmgc","cell division",0.014466182154391903,1,5
"CMGC protein kinase group","Cmgc","cellular protein modification process",0.014466182154391903,1,11
"CMGC protein kinase group","Cmgc","immune system process",0.014466182154391903,1,6
"CMGC protein kinase group","Cmgc","multicellular organismal development",0.014466182154391903,1,10
"CMGC protein kinase group","Cmgc","phosphorylation",0.014466182154391903,1,11
"CMGC protein kinase group","Cmgc","positive regulation of apoptotic process",0.014466182154391903,1,3
"CMGC protein kinase group","Cmgc","regulation of catalytic activity",0.014466182154391903,1,4
"CMGC protein kinase group","Cmgc","response to stress",0.014466182154391903,1,8
"CMGC protein kinase group","Cmgc","response to toxic substance",0.014466182154391903,1,1
"CMGC protein kinase group","Cmgc","signal transduction",0.014466182154391903,1,11
"Other protein kinase AUR family","Aur","catabolic process",0.0056606799734577,0,4
"Other protein kinase AUR family","Aur","cell cycle",0.0056606799734577,0,4
"Other protein kinase AUR family","Aur","cell differentiation",0.0056606799734577,0,10
"Other protein kinase AUR family","Aur","cell division",0.0056606799734577,0,5
"Other protein kinase AUR family","Aur","cell morphogenesis",0.0056606799734577,0,5
"Other protein kinase AUR family","Aur","cellular protein modification process",0.0056606799734577,0,11
