"go_pref_name","target_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"DNA metabolic process","Casein kinase I epsilon",0.0025158577659812,0,2
"DNA metabolic process","Serine/threonine-protein kinase Chk1",0.0031448222074765006,0,2
"aging","Glycogen synthase kinase-3 beta",0.04497095756691395,1,5
"aging","MAP kinase p38 alpha",0.07170194633046421,3,5
"aging","Nerve growth factor receptor Trk-A",0.005346197752710051,0,5
"aging","Serine/threonine-protein kinase AKT",0.01289377105065365,0,5
"aging","Serine/threonine-protein kinase Chk1",0.0031448222074765006,0,5
"anatomical structure development","Fibroblast growth factor receptor 1",0.0283033998672885,0,9
"anatomical structure development","Fibroblast growth factor receptor 2",0.0015724111037382503,0,9
"anatomical structure development","Glycogen synthase kinase-3 beta",0.04497095756691395,1,9
"anatomical structure development","MAP kinase ERK1",0.0012579288829906,0,9
"anatomical structure development","MAP kinase ERK2",0.0031448222074765006,0,9
"anatomical structure development","MAP kinase p38 alpha",0.07170194633046421,3,9
"anatomical structure development","Nerve growth factor receptor Trk-A",0.005346197752710051,0,9
"anatomical structure development","Serine/threonine-protein kinase AKT",0.01289377105065365,0,9
"anatomical structure development","Vascular endothelial growth factor receptor 2",0.16321627256803037,0,9
"anatomical structure formation involved in morphogenesis","Cyclin-dependent kinase 5",0.0022013755452335504,1,10
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",0.0283033998672885,0,10
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 2",0.0015724111037382503,0,10
"anatomical structure formation involved in morphogenesis","Glycogen synthase kinase-3 beta",0.04497095756691395,1,10
"anatomical structure formation involved in morphogenesis","MAP kinase ERK1",0.0012579288829906,0,10
"anatomical structure formation involved in morphogenesis","MAP kinase ERK2",0.0031448222074765006,0,10
"anatomical structure formation involved in morphogenesis","MAP kinase p38 alpha",0.07170194633046421,3,10
"anatomical structure formation involved in morphogenesis","Platelet-derived growth factor receptor beta",0.039310277593456254,2,10
"anatomical structure formation involved in morphogenesis","Protein kinase C alpha",0.056606799734577,0,10
"anatomical structure formation involved in morphogenesis","Vascular endothelial growth factor receptor 2",0.16321627256803037,0,10
"autophagy","MAP/microtubule affinity-regulating kinase 2",0.0012579288829906,0,2
"autophagy","TRAF2- and NCK-interacting kinase",0.00283033998672885,0,2
"biosynthetic process","Fibroblast growth factor receptor 1",0.0283033998672885,0,8
"biosynthetic process","Fibroblast growth factor receptor 2",0.0015724111037382503,0,8
"biosynthetic process","MAP kinase ERK1",0.0012579288829906,0,8
"biosynthetic process","MAP kinase ERK2",0.0031448222074765006,0,8
"biosynthetic process","MAP kinase p38 alpha",0.07170194633046421,3,8
"biosynthetic process","Platelet-derived growth factor receptor beta",0.039310277593456254,2,8
"biosynthetic process","Serine/threonine-protein kinase AKT",0.01289377105065365,0,8
"biosynthetic process","Serine/threonine-protein kinase Chk1",0.0031448222074765006,0,8
"carbohydrate metabolic process","Glycogen synthase kinase-3 alpha",0.0012579288829906,0,4
"carbohydrate metabolic process","Glycogen synthase kinase-3 beta",0.04497095756691395,1,4
"carbohydrate metabolic process","MAP kinase p38 alpha",0.07170194633046421,3,4
"carbohydrate metabolic process","Serine/threonine-protein kinase AKT",0.01289377105065365,0,4
"catabolic process","Cyclin-dependent kinase 5",0.0022013755452335504,1,5
"catabolic process","Glycogen synthase kinase-3 alpha",0.0012579288829906,0,5
"catabolic process","Glycogen synthase kinase-3 beta",0.04497095756691395,1,5
"catabolic process","MAP/microtubule affinity-regulating kinase 2",0.0012579288829906,0,5
"catabolic process","Serine/threonine-protein kinase AKT",0.01289377105065365,0,5
"cell adhesion","Cyclin-dependent kinase 5",0.0022013755452335504,1,3
