"Protein Class Name","Protein Class Short Name","Percentage of Measurements","Number of Measurements"
"Tyrosine protein kinase EGFR family","Egfr",1.5451016447032384,605
"Tyrosine protein kinase VEGFR family","Vegfr",1.338236796404127,524
"Tyrosine protein kinase Src family","Src",0.5771784656246808,226
"Tyrosine protein kinase FGFR family","Fgfr",0.24261926652364899,95
"Tyrosine protein kinase Tie family","Tie",0.23240371845949537,91
"Tyrosine protein kinase PDGFR family","Pdgfr",0.20431096128307286,80
"Other protein kinase group","Other",0.1889876391868424,74
"AGC protein kinase AKT family","Akt",0.15323322096230463,60
"CAMK protein kinase RAD53 family","Rad53",0.12258657676984369,48
"Other protein kinase AUR family","Aur",0.045969966288691384,18
"Tyrosine protein kinase Abl family","Abl",0.03830830524057616,15
"CAMK protein kinase PIM family","Pim",0.030646644192460923,12
"TKL protein kinase RAF family","Raf",0.028092757176422515,11
"CAMK protein kinase CHK1 subfamily","Chk1",0.025538870160384107,10
"Tyrosine protein kinase Eph family","Eph",0.015323322096230461,6
"CAMK protein kinase RSKb subfamily","Rskb",0.012769435080192054,5
"Tyrosine protein kinase InsR family","InsR",0.012769435080192054,5
"CAMK protein kinase AMPK subfamily","Ampk",0.010215548064153642,4
"CK1 protein kinase CK1 family","Ck1",0.007661661048115231,3
"Tyrosine protein kinase Tec family","Tec",0.007661661048115231,3
"STE protein kinase PAKA subfamily","Paka",0.005107774032076821,2
"AGC protein kinase PDK1 subfamily","Pdk1",0.0025538870160384105,1
