"target_pref_name","target_chembl_id","publication_year","target_tid","go_pref_name","compound_count","PMID_count","disease_efficacy_count"
"Vitamin D receptor","CHEMBL1977",2006,64,"transport",95,4,1
"Vitamin D receptor","CHEMBL1977",2007,64,"transport",11,3,1
"Vitamin D receptor","CHEMBL1977",2008,64,"transport",19,3,1
"Vitamin D receptor","CHEMBL1977",2009,64,"transport",3,1,1
"Vitamin D receptor","CHEMBL1977",2010,64,"transport",14,2,0
"Vitamin D receptor","CHEMBL1977",2011,64,"transport",7,1,0
"Vitamin D receptor","CHEMBL1977",2012,64,"transport",58,4,1
"Vitamin D receptor","CHEMBL1977",2013,64,"transport",55,9,1
"Vitamin D receptor","CHEMBL1977",2014,64,"transport",43,5,2
"Vitamin D receptor","CHEMBL1977",2015,64,"transport",12,5,1
"Vitamin D receptor","CHEMBL1977",2016,64,"transport",61,4,1
"Vitamin D receptor","CHEMBL1977",2006,64,"signal transduction",95,4,1
"Vitamin D receptor","CHEMBL1977",2007,64,"signal transduction",11,3,1
"Vitamin D receptor","CHEMBL1977",2008,64,"signal transduction",19,3,1
"Vitamin D receptor","CHEMBL1977",2009,64,"signal transduction",3,1,1
"Vitamin D receptor","CHEMBL1977",2010,64,"signal transduction",14,2,0
"Vitamin D receptor","CHEMBL1977",2011,64,"signal transduction",7,1,0
"Vitamin D receptor","CHEMBL1977",2012,64,"signal transduction",58,4,1
"Vitamin D receptor","CHEMBL1977",2013,64,"signal transduction",55,9,1
"Vitamin D receptor","CHEMBL1977",2014,64,"signal transduction",43,5,2
"Vitamin D receptor","CHEMBL1977",2015,64,"signal transduction",12,5,1
"Vitamin D receptor","CHEMBL1977",2016,64,"signal transduction",61,4,1
"Vitamin D receptor","CHEMBL1977",2006,64,"regulation of catalytic activity",95,4,1
"Vitamin D receptor","CHEMBL1977",2007,64,"regulation of catalytic activity",11,3,1
"Vitamin D receptor","CHEMBL1977",2008,64,"regulation of catalytic activity",19,3,1
"Vitamin D receptor","CHEMBL1977",2009,64,"regulation of catalytic activity",3,1,1
