"target_pref_name","target_chembl_id","publication_year","target_tid","go_pref_name","compound_count","PMID_count","disease_efficacy_count"
"Vesicular acetylcholine transporter","CHEMBL4767",2006,12943,"transport",7,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2009,12943,"transport",11,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2011,12943,"transport",27,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2012,12943,"transport",1,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2013,12943,"transport",25,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2015,12943,"transport",10,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2006,12943,"transmembrane transport",7,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2009,12943,"transmembrane transport",11,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2011,12943,"transmembrane transport",27,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2012,12943,"transmembrane transport",1,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2013,12943,"transmembrane transport",25,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2015,12943,"transmembrane transport",10,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2006,12943,"cell-cell signaling",7,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2009,12943,"cell-cell signaling",11,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2011,12943,"cell-cell signaling",27,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2012,12943,"cell-cell signaling",1,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2013,12943,"cell-cell signaling",25,1,0
"Vesicular acetylcholine transporter","CHEMBL4767",2015,12943,"cell-cell signaling",10,1,0
"Urea transporter 1","CHEMBL2390814",2013,107607,"transport",1,1,0
"Urea transporter 1","CHEMBL2390814",2013,107607,"transmembrane transport",1,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2010,103079,"zymogen activation",3,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2013,103079,"zymogen activation",89,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2014,103079,"zymogen activation",81,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2015,103079,"zymogen activation",50,2,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2016,103079,"zymogen activation",1,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2010,103079,"vesicle-mediated transport",3,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2013,103079,"vesicle-mediated transport",89,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2014,103079,"vesicle-mediated transport",81,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2015,103079,"vesicle-mediated transport",50,2,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2016,103079,"vesicle-mediated transport",1,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2010,103079,"transport",3,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2013,103079,"transport",89,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2014,103079,"transport",81,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2015,103079,"transport",50,2,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2016,103079,"transport",1,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2010,103079,"symbiosis, encompassing mutualism through parasitism",3,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2013,103079,"symbiosis, encompassing mutualism through parasitism",89,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2014,103079,"symbiosis, encompassing mutualism through parasitism",81,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2015,103079,"symbiosis, encompassing mutualism through parasitism",50,2,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2016,103079,"symbiosis, encompassing mutualism through parasitism",1,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2010,103079,"small molecule metabolic process",3,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2013,103079,"small molecule metabolic process",89,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2014,103079,"small molecule metabolic process",81,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2015,103079,"small molecule metabolic process",50,2,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2016,103079,"small molecule metabolic process",1,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2010,103079,"signal transduction",3,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2013,103079,"signal transduction",89,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2014,103079,"signal transduction",81,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2015,103079,"signal transduction",50,2,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2016,103079,"signal transduction",1,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2010,103079,"response to stress",3,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2013,103079,"response to stress",89,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2014,103079,"response to stress",81,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2015,103079,"response to stress",50,2,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2016,103079,"response to stress",1,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2010,103079,"proteolysis",3,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2013,103079,"proteolysis",89,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2014,103079,"proteolysis",81,1,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2015,103079,"proteolysis",50,2,0
"Transitional endoplasmic reticulum ATPase","CHEMBL1075145",2016,103079,"proteolysis",1,1,0
