target_pref_name,target_chembl_id,accession,TDL
1-acylglycerol-3-phosphate O-acyltransferase beta,CHEMBL4772,O15120,Tchem
11-beta-hydroxysteroid dehydrogenase 1,CHEMBL4235,P28845,Tclin
11-beta-hydroxysteroid dehydrogenase 2,CHEMBL3746,P80365,Tchem
14-3-3 protein sigma,CHEMBL1909482,P31947,Tbio
15-hydroxyprostaglandin dehydrogenase [NAD+],CHEMBL1293255,P15428,Tchem
17-beta-hydroxysteroid dehydrogenase 14,CHEMBL3712868,Q9BPX1,Tchem
2'-deoxynucleoside 5'-phosphate N-hydrolase 1,CHEMBL3351218,O43598,Tchem
2-acylglycerol O-acyltransferase 2,CHEMBL2439944,Q3SYC2,Tchem
2-oxoglutarate receptor 1,CHEMBL2150840,Q96P68,Tchem
"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",CHEMBL5993,O15528,Tchem
3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I,CHEMBL1958,P14060,Tchem
"3-beta-hydroxysteroid-delta(8),delta(7)-isomerase",CHEMBL4931,Q15125,Tchem
"3-hydroxyanthranilate 3,4-dioxygenase",CHEMBL3108657,P46952,Tbio
3-keto-steroid reductase,CHEMBL5999,P56937,Tchem
3-phosphoinositide dependent protein kinase-1,CHEMBL2534,O15530,Tchem
4-hydroxyphenylpyruvate dioxygenase,CHEMBL1861,P32754,Tclin
40S ribosomal protein S27,CHEMBL1932893,P42677,Tchem
"5'(3')-deoxyribonucleotidase, cytosolic type",CHEMBL3751653,Q8TCD5,Tbio
"5'(3')-deoxyribonucleotidase, mitochondrial",CHEMBL3751654,Q9NPB1,Tchem
5'-nucleotidase,CHEMBL5957,P21589,Tchem
5-lipoxygenase activating protein,CHEMBL4550,P20292,Tchem
6-O-methylguanine-DNA methyltransferase,CHEMBL2864,P16455,Tchem
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1",CHEMBL3421524,P16118,Tbio
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",CHEMBL3421525,O60825,Tchem
"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",CHEMBL2331053,Q16875,Tchem
"7,8-dihydro-8-oxoguanine triphosphatase",CHEMBL3708265,P36639,Tchem
7-dehydrocholesterol reductase,CHEMBL2169735,Q9UBM7,Tchem
A disintegrin and metalloproteinase with thrombospondin motifs 13,CHEMBL2346492,Q76LX8,Tbio
ADAM10,CHEMBL5028,O14672,Tchem
ADAM17,CHEMBL3706,P78536,Tchem
ADAMTS1,CHEMBL5133,Q9UHI8,Tchem
ADAMTS4,CHEMBL2318,O75173,Tchem
ADAMTS5,CHEMBL2285,Q9UNA0,Tchem
AICAR transformylase,CHEMBL2518,P31939,Tchem
ALK tyrosine kinase receptor,CHEMBL4247,Q9UM73,Tclin
AMP deaminase 1,CHEMBL2869,P23109,Tchem
AMP deaminase 3,CHEMBL2912,Q01432,Tchem
"AMP-activated protein kinase, alpha-1 subunit",CHEMBL4045,Q13131,Tchem
"AMP-activated protein kinase, alpha-2 subunit",CHEMBL2116,P54646,Tchem
"AMP-activated protein kinase, beta-1 subunit",CHEMBL3847,Q9Y478,Tchem
ATP-binding cassette sub-family G member 2,CHEMBL5393,Q9UNQ0,Tchem
ATP-citrate synthase,CHEMBL3720,P53396,Tchem
ATP-dependent RNA helicase DDX3X,CHEMBL5553,O00571,Tchem
ATP-sensitive inward rectifier potassium channel 1,CHEMBL1293292,P48048,Tchem
ATPase family AAA domain-containing protein 2,CHEMBL2150837,Q6PL18,Tchem
