"target_pref_name","target_chembl_id","publication_year","target_tid","go_pref_name","compound_count","PMID_count","disease_efficacy_count"
"Vitamin K-dependent protein C","CHEMBL4444",1999,12847,"vesicle-mediated transport",3,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2002,12847,"vesicle-mediated transport",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2003,12847,"vesicle-mediated transport",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2005,12847,"vesicle-mediated transport",2,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2006,12847,"vesicle-mediated transport",22,3,0
"Vitamin K-dependent protein C","CHEMBL4444",2011,12847,"vesicle-mediated transport",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2013,12847,"vesicle-mediated transport",22,0,0
"Vitamin K-dependent protein C","CHEMBL4444",2014,12847,"vesicle-mediated transport",18,2,0
"Vitamin K-dependent protein C","CHEMBL4444",2015,12847,"vesicle-mediated transport",6,1,0
"Vitamin K-dependent protein C","CHEMBL4444",1999,12847,"response to stress",3,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2002,12847,"response to stress",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2003,12847,"response to stress",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2005,12847,"response to stress",2,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2006,12847,"response to stress",22,3,0
"Vitamin K-dependent protein C","CHEMBL4444",2011,12847,"response to stress",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2013,12847,"response to stress",22,0,0
"Vitamin K-dependent protein C","CHEMBL4444",2014,12847,"response to stress",18,2,0
"Vitamin K-dependent protein C","CHEMBL4444",2015,12847,"response to stress",6,1,0
"Vitamin K-dependent protein C","CHEMBL4444",1999,12847,"proteolysis",3,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2002,12847,"proteolysis",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2003,12847,"proteolysis",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2005,12847,"proteolysis",2,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2006,12847,"proteolysis",22,3,0
"Vitamin K-dependent protein C","CHEMBL4444",2011,12847,"proteolysis",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2013,12847,"proteolysis",22,0,0
"Vitamin K-dependent protein C","CHEMBL4444",2014,12847,"proteolysis",18,2,0
"Vitamin K-dependent protein C","CHEMBL4444",2015,12847,"proteolysis",6,1,0
"Vitamin K-dependent protein C","CHEMBL4444",1999,12847,"protein processing",3,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2002,12847,"protein processing",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2003,12847,"protein processing",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2005,12847,"protein processing",2,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2006,12847,"protein processing",22,3,0
"Vitamin K-dependent protein C","CHEMBL4444",2011,12847,"protein processing",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2013,12847,"protein processing",22,0,0
"Vitamin K-dependent protein C","CHEMBL4444",2014,12847,"protein processing",18,2,0
"Vitamin K-dependent protein C","CHEMBL4444",2015,12847,"protein processing",6,1,0
"Vitamin K-dependent protein C","CHEMBL4444",1999,12847,"immune system process",3,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2002,12847,"immune system process",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2003,12847,"immune system process",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2005,12847,"immune system process",2,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2006,12847,"immune system process",22,3,0
"Vitamin K-dependent protein C","CHEMBL4444",2011,12847,"immune system process",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2013,12847,"immune system process",22,0,0
"Vitamin K-dependent protein C","CHEMBL4444",2014,12847,"immune system process",18,2,0
"Vitamin K-dependent protein C","CHEMBL4444",2015,12847,"immune system process",6,1,0
"Vitamin K-dependent protein C","CHEMBL4444",1999,12847,"cellular protein modification process",3,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2002,12847,"cellular protein modification process",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2003,12847,"cellular protein modification process",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2005,12847,"cellular protein modification process",2,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2006,12847,"cellular protein modification process",22,3,0
"Vitamin K-dependent protein C","CHEMBL4444",2011,12847,"cellular protein modification process",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2013,12847,"cellular protein modification process",22,0,0
"Vitamin K-dependent protein C","CHEMBL4444",2014,12847,"cellular protein modification process",18,2,0
"Vitamin K-dependent protein C","CHEMBL4444",2015,12847,"cellular protein modification process",6,1,0
"Vitamin K-dependent protein C","CHEMBL4444",1999,12847,"cellular nitrogen compound metabolic process",3,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2002,12847,"cellular nitrogen compound metabolic process",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2003,12847,"cellular nitrogen compound metabolic process",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2005,12847,"cellular nitrogen compound metabolic process",2,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2006,12847,"cellular nitrogen compound metabolic process",22,3,0
"Vitamin K-dependent protein C","CHEMBL4444",2011,12847,"cellular nitrogen compound metabolic process",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2013,12847,"cellular nitrogen compound metabolic process",22,0,0
"Vitamin K-dependent protein C","CHEMBL4444",2014,12847,"cellular nitrogen compound metabolic process",18,2,0
"Vitamin K-dependent protein C","CHEMBL4444",2015,12847,"cellular nitrogen compound metabolic process",6,1,0
"Vitamin K-dependent protein C","CHEMBL4444",1999,12847,"cell motility",3,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2002,12847,"cell motility",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2003,12847,"cell motility",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2005,12847,"cell motility",2,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2006,12847,"cell motility",22,3,0
"Vitamin K-dependent protein C","CHEMBL4444",2011,12847,"cell motility",1,1,0
"Vitamin K-dependent protein C","CHEMBL4444",2013,12847,"cell motility",22,0,0
"Vitamin K-dependent protein C","CHEMBL4444",2014,12847,"cell motility",18,2,0
"Vitamin K-dependent protein C","CHEMBL4444",2015,12847,"cell motility",6,1,0
"Urokinase-type plasminogen activator","CHEMBL3286",2001,11942,"signal transduction",18,2,0
"Urokinase-type plasminogen activator","CHEMBL3286",2002,11942,"signal transduction",14,1,0
"Urokinase-type plasminogen activator","CHEMBL3286",2005,11942,"signal transduction",1,1,0
"Urokinase-type plasminogen activator","CHEMBL3286",2006,11942,"signal transduction",70,2,0
"Urokinase-type plasminogen activator","CHEMBL3286",2007,11942,"signal transduction",86,3,0
"Urokinase-type plasminogen activator","CHEMBL3286",2011,11942,"signal transduction",7,2,0
"Urokinase-type plasminogen activator","CHEMBL3286",2012,11942,"signal transduction",46,2,0
"Urokinase-type plasminogen activator","CHEMBL3286",2013,11942,"signal transduction",14,3,0
"Urokinase-type plasminogen activator","CHEMBL3286",2014,11942,"signal transduction",38,2,0
"Urokinase-type plasminogen activator","CHEMBL3286",2015,11942,"signal transduction",45,2,0
"Urokinase-type plasminogen activator","CHEMBL3286",2016,11942,"signal transduction",3,1,0
"Urokinase-type plasminogen activator","CHEMBL3286",2001,11942,"response to stress",18,2,0
"Urokinase-type plasminogen activator","CHEMBL3286",2002,11942,"response to stress",14,1,0
"Urokinase-type plasminogen activator","CHEMBL3286",2005,11942,"response to stress",1,1,0
"Urokinase-type plasminogen activator","CHEMBL3286",2006,11942,"response to stress",70,2,0
"Urokinase-type plasminogen activator","CHEMBL3286",2007,11942,"response to stress",86,3,0
"Urokinase-type plasminogen activator","CHEMBL3286",2011,11942,"response to stress",7,2,0
"Urokinase-type plasminogen activator","CHEMBL3286",2012,11942,"response to stress",46,2,0
"Urokinase-type plasminogen activator","CHEMBL3286",2013,11942,"response to stress",14,3,0
"Urokinase-type plasminogen activator","CHEMBL3286",2014,11942,"response to stress",38,2,0
